f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,label
-7.661003301197546467e-01,-1.026522741408018824e+01,6.137364091928316334e+00,7.561733135473279965e+00,-3.426188458674050974e+00,3.347868157872162520e+00,-9.484964323504140538e+00,-1.653786747634744980e+00,6.051438976990460183e+00,3.918740376369772793e+00,-2.367260730247131129e+00,6.182953657770082323e+00,-3.921779059538617496e+00,1.922269721436929313e+00,6.589838375652610658e+00,-1.630609190966235023e+00,1.000000000000000000e+00
-3.229142417764590434e+00,2.639522449562910489e-01,-8.339195523100469742e+00,1.820423850053205506e+00,1.590181173529840120e+00,-9.869054815168036399e+00,1.603805694191027253e+00,9.238311993450265547e+00,6.162672079608850773e+00,1.056458693108945290e+01,9.157531325467155980e+00,5.343839417154758742e+00,-2.267484546037483728e+00,1.498674157421638231e+00,-1.457572044741665795e+00,-6.138585276421858694e+00,3.000000000000000000e+00
5.512637615231287036e+00,-7.292855924061814932e+00,4.480565571711254691e+00,4.840436814392795384e+00,-6.138763627926025812e+00,8.988395468983233272e+00,-2.318964381216130022e+00,7.193880316220698568e+00,-1.059814283092060450e+01,-6.594170495583694169e+00,-8.200876867574640627e+00,2.772667682984537141e+00,2.549095286541736893e+00,2.087156990644493670e-01,-1.085482292573830065e+01,8.625335974594471322e-01,2.000000000000000000e+00
5.098440519829795292e+00,-6.348494085558646916e+00,4.134172344021807888e+00,3.389392293219661401e+00,-5.249619142355875567e+00,8.741398488655699239e+00,-1.731122276758119582e+00,6.683500252956229737e+00,-9.133028703786116864e+00,-7.261810930018219423e+00,-9.437184919836798969e+00,3.277836464486096446e+00,2.887166427567479765e+00,1.668845838583814967e+00,-8.699048851647342318e+00,1.767313435688538714e+00,2.000000000000000000e+00
-2.459267647025003001e+00,-8.383945813069056285e+00,-8.213305842786216004e-01,1.031743499486465687e+01,-8.882552506829172856e+00,-8.159912008779691917e+00,5.062636419684942268e+00,2.323104216040646097e+00,-6.068810450426518344e-01,-8.606519550380330230e+00,-6.242707885371872933e+00,9.311180039416846910e+00,-2.392073927643103559e+00,1.560856921070489900e+00,-9.216463995779186291e+00,-2.114926075925906090e+00,4.000000000000000000e+00
-6.413344461587306533e+00,1.450337610085072448e+00,-1.593452333820320810e+00,5.249336826854911209e+00,5.321305618208871380e+00,-5.065713198033773956e+00,-5.318817852957239189e+00,6.358402008545908757e+00,8.519960099308656609e+00,7.258933609385361585e+00,-2.283174452390241527e+00,6.322944706719915153e-01,3.263040557318776180e+00,4.234444653846405338e+00,-1.986387094286719446e+00,2.328916239732779836e+00,0.000000000000000000e+00
-6.203756033179025131e+00,2.736562377646497346e+00,2.019028144871173325e-01,6.523226353725751991e+00,6.871293009023640153e+00,-3.557654488769598000e+00,-5.251934449855779619e+00,5.327243230356369708e+00,8.700925964659361966e+00,8.161016908885050825e+00,-2.235264378158355214e+00,-1.248623180982390668e+00,2.316127086261700274e+00,5.097830153704092204e+00,-2.996579410122028886e+00,9.881737665674003024e-01,0.000000000000000000e+00
-5.907959949315835679e+00,2.159806068683179703e+00,-1.969867332212647426e+00,7.048120014736554140e+00,6.144312968557485988e+00,-5.111121982821893006e+00,-4.389051098170153153e+00,6.993488462447968068e+00,8.940419565048815187e+00,7.476920461538021812e+00,-2.560707719842815866e+00,-3.067460992192685976e-01,2.220914969206575051e+00,3.531394089833917338e+00,-1.751748831240650173e+00,4.392222199293120966e-01,0.000000000000000000e+00
-3.062604986921063421e+00,1.566642956795264441e-01,-7.999274130756699464e+00,2.032845406416101230e+00,1.793390666650930720e+00,-9.744509692861056394e+00,2.274638817553278347e+00,7.224242540839795446e+00,7.240255559301346011e+00,1.028210324877410642e+01,8.567565884547136079e+00,5.816824972130580029e+00,-4.609403013014474304e+00,1.790028229782436142e+00,-1.611591052979971739e+00,-4.099764996446631393e+00,3.000000000000000000e+00
-2.677130137379861718e+00,4.213564396876041673e-01,-9.740181919337743466e+00,2.060156499507765027e+00,1.004855126055675729e+00,-9.410335653694817282e+00,3.191881496298103471e+00,8.654042473735126251e+00,5.604063443337561345e+00,1.018724604487290009e+01,8.749507320446909375e+00,5.945066525506135235e+00,-3.779986264990693456e+00,3.990770225579279185e+00,-4.816757427936837477e-01,-6.688976106179838510e+00,3.000000000000000000e+00
