f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,label
7.341139655475535264e+00,-7.246399409796645763e+00,3.112801720511964465e+00,4.700610780464172578e+00,-5.190986388486440894e+00,8.092783763472482406e+00,-1.106441356003182497e+00,7.940718209355328128e+00,-1.023003309773699243e+01,-6.836035686841431591e+00,-9.880658060245647079e+00,2.957022465752770835e+00,2.573327258369813020e+00,5.751125827259593315e-01,-9.857426882805427226e+00,2.268606190470245032e+00,-4.399220243945371145e+00,1.029069794578131525e+00,-1.037347671117189662e+01,3.035051636207916292e+00,1.007580576240413528e+00,-9.456367961244772857e+00,2.090332673169897681e+00,8.802754397578633316e+00,5.017773245568760920e+00,9.487551654887406372e+00,1.029330600924982342e+01,5.803164207688479515e+00,-4.946129814667826530e+00,2.181496652516237589e+00,-6.562708696071556380e-01,-4.706560538867881505e+00,1.000000000000000000e+00
6.992221509866292983e+00,-6.543664792326348234e+00,5.275020499486383407e+00,3.672924323265390978e+00,-5.539411808541314208e+00,8.601085308579436983e+00,-2.046027087292480395e+00,8.545706459302413904e+00,-1.009617383195621976e+01,-6.217960182256960344e+00,-9.178204324086294719e+00,2.066922143170570436e+00,1.515609061159126192e+00,5.628530919523969667e-01,-8.756870429632158448e+00,2.828456908659433111e+00,-4.459616121894807605e+00,1.055625395442392644e+00,-7.418615943217917952e+00,1.529970984716282123e+00,1.923279816084587424e+00,-9.599795818705050721e+00,2.137313571129885847e+00,6.555110727275144100e+00,6.168158753937609262e+00,1.155505496151275402e+01,9.131171933206697844e+00,6.745760443412590845e+00,-4.027589489366027564e+00,1.523630135089725446e+00,2.296957276347706411e-01,-5.744958027495143504e+00,1.000000000000000000e+00
-2.277023581416989240e-01,5.798546868079479388e+00,-8.651914765254309359e+00,5.014733310917569575e+00,6.569794042354596186e+00,5.077746036479005021e+00,6.723308220489736087e+00,2.490576606808666771e+00,9.296257085730063707e+00,-6.659055731082729856e+00,-8.995728532560187674e+00,5.790638372344569795e-01,-7.612266513920854294e+00,8.680542102170891283e+00,-4.397312793932130148e+00,-4.608335596930117184e+00,-1.222533077084530628e+00,8.920176789449179466e+00,7.534866649491208435e+00,-4.614939434962195719e+00,-3.825665340971547757e+00,-6.178962331709853650e+00,7.986563356172699635e+00,4.830657117190233940e+00,6.862948999411120354e+00,6.954615132538755518e+00,4.648022421767081802e+00,2.255137042569700601e+00,-5.157653572954553844e+00,-8.251702536600708626e+00,-2.530015806205123674e+00,4.704438334682637723e+00,3.000000000000000000e+00
1.152757675886572519e+00,6.168552172431663649e+00,-8.485728305499801394e+00,5.064258367582915810e+00,5.212615568755704309e+00,5.391349257905305947e+00,5.893833254862471449e+00,8.469984890077675299e-01,8.382573390399413071e+00,-5.495272209982782208e+00,-1.008980002326079806e+01,3.309393379671921043e+00,-7.244149431588703614e+00,9.141989878589587448e+00,-3.180860232715231994e+00,-5.684291399432281011e+00,1.579610231691994660e-01,1.075219164206359856e+01,6.849594931396087993e+00,-4.742384821150183782e+00,-2.564771065833938213e+00,-7.023169495538191143e+00,9.235825908381375626e+00,4.339454113248780054e+00,6.518411692692112069e+00,9.145757325019630457e+00,6.509962259534871620e+00,1.643114246529832290e+00,-3.839490855422818427e+00,-5.823821607666798350e+00,-5.396087308093603596e+00,4.583184711340283712e+00,3.000000000000000000e+00
8.316794887271338865e+00,-4.940181301671171532e+00,-4.811455356177970266e+00,4.514901149551058701e+00,9.084634162293985682e+00,9.237818367445383316e+00,2.734402529442915508e+00,-2.631277931959889127e+00,2.107985065863698271e+00,7.915972394022574576e+00,2.197177107550992936e+00,-7.980673602930654198e+00,-3.876840769724365643e+00,9.679697806080646671e+00,-5.703226328625973229e-01,1.307295047716895864e+00,1.454202492803255087e+00,-6.572492736300311833e+00,-6.741738848757749203e+00,9.606777148832370550e-01,9.360784965712772632e+00,-2.731408683826911599e+00,3.090264326822889096e+00,-5.843586750083026082e+00,-8.675167996460556807e+00,-6.052754934094907391e+00,-6.912767302109148915e+00,-5.931043659755694364e+00,1.962316771857614439e+00,4.269501331424102375e+00,7.775138621530453875e+00,2.795568232715325063e+00,9.000000000000000000e+00
-5.661866513325406025e+00,5.189009968683840235e+00,-7.254772054549268212e+00,-2.990573393645296285e+00,9.093722371453429876e-01,-7.135926116528580110e+00,5.376683833527825307e+00,9.038724269390488786e+00,9.280864323625007017e+00,6.610539747684340384e+00,2.368319493601624970e+00,8.708593012992507099e+00,4.185599594254536093e+00,3.780723941532575072e+00,-8.675824976848126369e+00,-1.398073746224683944e+00,-3.101233295780362553e+00,-2.780349389212237732e+00,-7.279031163796055637e+00,4.796778948930094266e+00,4.209763277163586226e-02,2.557478655210108531e+00,3.818978362368078194e+00,-1.576637335119761785e+00,-1.359916984087576219e+00,-2.354985212971965058e+00,-1.943202319719270932e+00,9.504619203057677268e+00,-8.283634971757176668e-01,-9.168175136184753882e+00,9.706014728685932624e+00,6.168240860577377305e+00,6.000000000000000000e+00
-6.387156724956064124e+00,5.594617679702555080e+00,2.255367523378709826e+00,1.706860669041032841e+00,3.076243416204376135e+00,3.771482684200452073e+00,-4.124393131388270461e+00,6.956102537687589127e+00,7.217216537498742923e+00,4.773848770132744335e+00,4.598777835459901375e+00,-1.399538926190428301e+00,6.262508464447553713e+00,2.156441132031373442e+00,-2.716995689208508757e+00,1.880052945076426951e+00,-2.056930807202110856e+00,-8.163255906320374677e+00,4.031499089938430647e-01,7.145820796931814378e+00,6.874348117971001315e+00,4.339077560031753045e+00,-9.288416384005095949e+00,-2.182470625557560773e+00,-1.034502693321849520e+01,-6.237564431189117187e+00,1.168415654498912160e+00,-6.650728170305249876e+00,1.333694755915607821e+00,8.623576914151914741e-01,5.755103484242793499e+00,3.360513299433655732e+00,8.000000000000000000e+00
-6.519267755909415207e+00,2.247347929836760017e+00,-1.320467687027165882e+00,5.214385428803076650e+00,5.931235692896724032e+00,-4.386471309839445887e+00,-4.708763330029534622e+00,6.582772025934996662e+00,9.593435741522519322e+00,7.027411924254293396e+00,-2.228408540181241015e+00,1.670495792514802957e+00,4.889033701143225663e+00,4.565667714663245391e+00,-3.748537627164962416e+00,1.900461421151665053e+00,-2.945869031054526577e-01,-1.091844383366239768e+01,5.625960252174398768e+00,7.359077100039530528e+00,-3.481521589476519907e+00,1.234428588509648206e+00,-9.732081013463437458e+00,-2.372691781274395062e+00,8.339958150859159147e+00,2.168218853087063636e+00,-2.057078072293166748e+00,6.652773519740989627e+00,-2.965412088604800989e+00,-4.217134288042490020e-02,8.018935855272246727e+00,-2.882556382818596052e+00,0.000000000000000000e+00
-6.013335478381529597e+00,4.674695541419823464e+00,9.304297656887861478e+00,7.134927522283294188e+00,9.835350140259901508e+00,6.825323371938603501e+00,9.103509875147073327e-01,-2.363672767741538561e+00,7.863486074193972719e+00,9.903466981339333230e+00,2.414092572808947956e+00,-2.587396715460666741e+00,-1.972473946583761517e+00,7.715247476500365131e+00,-5.781234568899069615e+00,4.744072938305555986e+00,-2.966076461755847937e+00,5.581625622426912514e+00,6.466543414464303474e+00,3.426287997684663189e+00,4.279690227960077920e+00,3.796518113113012127e-01,6.561787907505209461e+00,5.285498196767080437e+00,1.743057114541832764e+00,-8.795958992587436853e+00,-2.855324170481425394e+00,4.524832863726391707e+00,-1.076598351126525577e+00,-3.322817931754888043e+00,2.956406022887660079e+00,-6.333998919715860154e+00,5.000000000000000000e+00
-1.483971516411366487e+00,-8.234692752104971092e+00,-1.669696410353003646e+00,1.037586404165660525e+01,-7.109782164203291899e+00,-7.656326459513184801e+00,5.403742614294861468e+00,3.125491159839938859e+00,1.221269523701818516e+00,-7.315695027224482949e+00,-4.984565994854976978e+00,5.954306773762938931e+00,-2.660870993834167031e+00,1.207953489016986293e-01,-9.368122444196837151e+00,-4.666902705978825949e+00,-8.712606278810581806e-01,2.017813024554766521e+00,9.337333959269580319e+00,3.232172452266372620e+00,3.435698064455620759e+00,-7.674205432922772907e+00,4.555293050952478495e+00,6.243591219275995918e+00,1.255752568918540923e+00,-1.172523777571605308e+00,-6.453057606120546019e+00,3.726543528908817793e-01,4.125043233252981834e-01,8.857880141109818695e+00,-6.369946170466472823e-01,-8.583893091952224386e-02,2.000000000000000000e+00
