f0,f1,f2,f3,label
9.311644489128870106e+00,4.734583725542637289e+00,-1.865181095066112960e+00,7.213701499357494384e+00,6.000000000000000000e+00
-1.948330078748687022e+00,2.814672237569793456e+00,-8.583479406944459100e+00,-2.257122566761888383e+00,5.000000000000000000e+00
-5.648408520752059125e+00,7.855761670427731325e+00,-1.642459027800204918e+00,9.107916073066702367e+00,9.000000000000000000e+00
2.928548162207981198e-01,-8.471564277040080526e+00,7.412180267652821897e+00,6.623289273935070831e+00,4.000000000000000000e+00
7.734428984510357097e+00,3.217065020885917725e+00,-2.660491462958498143e+00,5.271831850123813723e+00,6.000000000000000000e+00
-6.249906947634801924e+00,8.809085067775345834e+00,-1.541429858313875689e+00,7.344796666684215936e+00,9.000000000000000000e+00
3.675070417916066479e+00,5.718050312630296617e+00,-2.076701581331795943e+00,1.629198044988372507e+00,3.000000000000000000e+00
7.130298464218457255e+00,-7.107886410066632799e+00,3.916840942136048831e+00,5.369434644697024694e+00,8.000000000000000000e+00
4.459877572580267291e+00,9.988303720997679491e+00,7.676140176913863300e+00,6.235479218266357648e+00,1.400000000000000000e+01
-2.027013285898241257e+00,3.249000834105572721e+00,-8.061603696548443665e+00,-2.245947588704143794e+00,5.000000000000000000e+00
-5.699678954419034937e+00,9.260056466871564140e+00,-4.869933684228925364e-01,1.023751320318578273e+01,9.000000000000000000e+00
-6.016329737370828212e+00,8.734377534178429769e+00,-6.973658617988598429e-01,7.782191423898789040e+00,9.000000000000000000e+00
-5.561363504576616101e+00,9.593735650267607440e+00,-1.717836409761181571e+00,7.488411708295571678e+00,9.000000000000000000e+00
-8.411466139107083961e+00,-5.858462933222126523e+00,-9.342017440007696294e+00,4.944490967159182127e+00,1.000000000000000000e+01
2.566633354649998200e+00,4.017925008598309589e+00,-1.291900249741889883e+00,9.219736856343302422e-01,3.000000000000000000e+00
2.277533695713770179e+00,7.442995213196612614e-01,-9.950234879696381540e+00,1.229285887205026739e+00,1.100000000000000000e+01
-4.470156546946313370e+00,8.036733090617773079e-02,-8.077511473214922688e+00,1.663146946614209032e+00,1.200000000000000000e+01
-2.426821522444934320e+00,1.790248248212729321e+00,-9.314715864551846636e+00,-4.120147420433013075e+00,5.000000000000000000e+00
