f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
-5.078771437431708335e+00,2.941696854517404258e+00,-1.704566529525870289e+00,5.486291933581354030e+00,4.805414181214167968e+00,-6.081705352705190748e+00,-5.368015557720045017e+00,5.632066449359084181e+00,9.798754872975392161e+00,7.608626221799618783e+00,-1.405975356576084634e+00,1.064195768827074229e-01,4.187424435611638351e+00,5.110802185177155899e+00,-3.886647164953084044e+00,2.066163240786892175e+00,8.795282797314789569e-01,-1.126895724638162655e+01,4.871161972477031199e+00,8.107362813871596074e+00,-2.448234667303481604e+00,2.961842402065273827e+00,-8.121787008028116261e+00,-3.499759389214404770e+00,8.547972458848937194e+00,3.457578946228774264e+00,-3.439154136420247809e+00,5.504007061937399747e+00,-4.359717934631369474e+00,2.342868250902205851e+00,7.363070581598885944e+00,-1.033781100994827895e+00,5.114496107374615796e+00,-7.020101655849488864e+00,3.782897152317086231e+00,3.672341811807278589e+00,-4.847355096464154300e+00,1.013083940270285233e+01,-7.700148348779685126e-01,6.890820213275341999e+00,-9.038498376809359414e+00,-6.197343802567743865e+00,-9.084599770059597290e+00,3.717926613696585392e+00,1.285628766639420828e+00,5.536896070633214872e-01,-8.772646718906859320e+00,1.716226210033569011e+00,-2.499491330172470605e+00,-6.494510000803646044e-01,-7.201671502881827891e+00,3.104936841401906289e+00,1.064677537867622314e+00,-9.832199617050290996e+00,2.758724917574047808e+00,8.971363195283499792e+00,6.500211158735163863e+00,8.418158494295269634e+00,8.477235019752276557e+00,7.074615538624812849e+00,-5.483728386198427174e+00,3.148557836745691230e+00,-7.872080567472636847e-01,-6.958236393314230384e+00,0.000000000000000000e+00
-8.901675645029403228e+00,-8.848572948344500588e+00,-2.656428134632244920e+00,3.416128650067078443e+00,6.226432414294076345e+00,-4.178870415844385455e+00,-5.535070899498759189e+00,-8.274478207442749422e+00,9.663305247666139408e+00,-7.843796447147919793e+00,-5.023313745870829905e+00,7.452340796317988847e-01,-1.101028285327578438e+01,6.576672203829170726e+00,8.767961825423187250e+00,1.453021467781871356e+00,-8.062671099594943769e+00,-2.832732666526986964e+00,5.245851735316319875e+00,-6.692137946910130530e+00,2.189446632624965083e+00,-4.621175581003942767e+00,8.084549901354883161e+00,3.332422461979970940e+00,-3.569688368962896874e+00,-7.365773328099383122e+00,5.145433210699388304e+00,5.851611597679239551e+00,6.912955176274733660e+00,8.984547791375334214e+00,2.267456247140638759e+00,1.138243027307858757e+00,-5.292616755276855045e+00,4.421168470180816712e+00,8.666024545177956284e+00,5.423394450359872110e+00,1.062548630636909230e+01,5.391611754292638281e+00,6.459768781130708071e-01,1.259851125740825140e-01,6.996872477358587972e+00,9.869120877500867195e+00,2.835932015580820309e+00,-1.455513022939994627e+00,-2.175310227455360845e+00,7.043171220814934408e+00,-5.743376988521667670e+00,5.473998494602307474e+00,-3.260384953712648581e+00,5.625703800351585571e+00,5.031500398231654181e+00,3.876846459903203534e+00,1.774506854968437519e+00,1.148132035933939976e+00,5.701217313435477330e+00,3.647900304125335502e+00,-1.013993057012958277e+00,-9.607763096150758741e+00,-2.386796200321310568e+00,5.763460612863172905e+00,-9.518424004547212380e-01,-1.822517702412808083e+00,3.048156133232766241e+00,-8.750679150110009630e+00,2.000000000000000000e+00
-2.264816852293981331e+00,-9.809340803370647066e+00,-6.659475609635381321e-01,1.096046615206332575e+01,-6.484460684505590322e+00,-7.791223989062168620e+00,5.060464560823439761e+00,1.021228775822304868e-01,2.576243918109798470e-01,-9.011847205634765601e+00,-5.812852528930998020e+00,7.178535829085168629e+00,-3.531154395871265450e-01,-7.436367036083013637e-01,-1.272998126154930354e+01,-2.855010035197405482e+00,-1.710563045160303997e+00,2.067659153348861523e+00,8.227727457678293277e+00,3.111161385846719973e+00,4.794516665891832119e+00,-8.590120532614331950e+00,4.552136904281887553e+00,6.407096043865080581e+00,3.031563387077438776e+00,-5.967670549390488022e-01,-7.181787327844888935e+00,4.809731077236996111e-01,-5.060676730704904980e-02,7.742467989559118635e+00,-6.166147198712851329e-01,-6.440460395780625014e-01,3.217429102994566747e-01,5.678773357873283523e+00,-8.011040754736908909e+00,5.128199144059208514e+00,4.297111596826372448e+00,3.310641280680993503e+00,6.341884777455779165e+00,1.288890388687990773e+00,1.004552999501638055e+01,-7.612491860682544242e+00,-1.010245526895250023e+01,1.477156063119094753e+00,-7.761544075404166243e+00,8.547600668231433829e+00,-2.251402202283651732e+00,-6.386983493259222655e+00,-5.541536544010643439e-01,6.791776543065682681e+00,8.193687272164845936e+00,-5.734118159285359617e+00,-2.477041531673328745e+00,-7.442280139166411956e+00,8.287394104128372518e+00,4.068982983077951587e+00,4.561911297678921784e+00,7.715422866960188308e+00,5.418894913919452883e+00,2.277617448201417538e+00,-3.284385368332191302e+00,-6.472648111126066084e+00,-3.085807539922482245e+00,5.524942621523441844e+00,1.000000000000000000e+00
-8.633518373620104214e+00,-9.339830473402543021e+00,-3.373636912786537767e+00,1.557360882254367418e+00,5.986217981936024835e+00,-3.684896747242818904e+00,-7.581177511973834271e+00,-7.800202750699354759e+00,1.074814784820705782e+01,-5.824680649199330595e+00,-3.465281696228462938e+00,2.231738655212169853e+00,-1.048449796212609186e+01,8.340268185034929616e+00,9.527526153324252789e+00,1.092952941550935586e+00,-1.028240025223304421e+01,-4.863822687958458069e+00,4.624108678785351145e+00,-8.229405121903811349e+00,5.308269182843909917e-01,-4.829079645722542224e+00,8.295257270046136000e+00,4.661560278741554875e+00,-4.242307745078389480e+00,-7.735207203648566399e+00,5.510964087619197649e+00,5.978985766703360127e+00,5.398221712444167153e+00,7.894134420343994485e+00,1.487884933257830777e+00,1.152865005689200473e+00,-5.920953097593238290e+00,5.356474605899940400e+00,1.011037540778631083e+01,8.199177538439775148e+00,1.077139007975351781e+01,7.478885371290255435e+00,6.791194474760005040e-01,-4.356804739670331328e-01,6.628642912476933269e+00,9.671121471173444561e+00,2.677236482304603982e+00,-1.868669409930920899e+00,-3.819228191439262954e+00,7.423089793975444550e+00,-6.043071945518585508e+00,3.277309807478678838e+00,-1.427933093676633902e+00,5.236745779644911281e+00,5.959037473613730818e+00,2.826301221814552012e+00,3.588753299242312345e+00,-1.223475103169368305e-01,7.303920583275379741e+00,3.111621899283494308e+00,-6.761721999315752907e-01,-9.546694576781250774e+00,-3.120398051670068451e+00,4.664915799316875500e+00,7.605915579253554881e-01,-2.865878811978138874e+00,3.014158462622531065e+00,-7.252157328756370092e+00,2.000000000000000000e+00
-5.040089859117501625e+00,1.612026898972428679e+00,-1.792645680218711179e+00,5.901000747691732329e+00,6.077900483517796992e+00,-4.240257537991516834e+00,-5.154028998061582989e+00,7.175943931634946260e+00,7.329811092902424718e+00,7.591775565957314953e+00,-1.763162424241689674e+00,2.328562931548308068e+00,3.145012799199762732e+00,4.545186205962497006e+00,-2.057722876692988478e+00,1.600650320912776925e+00,5.625021555299460074e-02,-9.967466049771338987e+00,4.670927174560993045e+00,9.320126268713234907e+00,-2.270456874252088753e+00,1.335330208899450977e+00,-7.763575588537131367e+00,-3.865831084166141629e+00,8.906697732556683178e+00,2.940664714744787300e+00,-3.194145898681356233e+00,5.003886168200028628e+00,-2.791557322645298100e+00,1.099299517757343692e+00,7.172719680409017862e+00,-1.858276595434850353e+00,5.877966364356089990e+00,-6.423244884420348022e+00,5.830065273534263959e+00,3.505303783030814468e+00,-5.381399345573808723e+00,7.528044636890553143e+00,-9.273529892504868144e-01,7.347851623731783022e+00,-9.794248391288361333e+00,-5.293663056416039403e+00,-9.116667671810160911e+00,3.008905411922695006e+00,1.685342658334420429e+00,6.999595166103977917e-02,-9.566446455478006428e+00,-3.553794378670371845e-01,-2.949486359038428596e+00,3.746689098156127939e-01,-7.769220863461766768e+00,2.671590611630549006e+00,1.475008645391280959e+00,-1.085776321549406376e+01,3.529793737641879758e+00,8.087102990044654049e+00,6.059564305274203200e+00,9.596032000736247625e+00,9.899699979183337106e+00,5.464598042613847184e+00,-4.602477001000869095e+00,2.783932331877861266e+00,2.080295599302450782e-01,-5.732111275089045499e+00,0.000000000000000000e+00
-5.989983407082278610e+00,1.531130962780716587e+00,-5.755985145763256039e-01,6.174164274370486538e+00,4.914185462369164092e+00,-4.257027263005713991e+00,-5.033637487265622212e+00,5.241028743648040944e+00,9.713204400762965207e+00,8.142972558820000373e+00,-3.201130851345602490e+00,-1.046236455532697951e+00,4.244643918648889347e+00,5.458194557971532745e+00,-2.902849350589111310e+00,4.933424326930114789e-01,-1.222768828757313742e+00,-8.992043112597196242e+00,5.543138651920710203e+00,6.869461794015405687e+00,-4.214930033907325679e+00,2.656032353644517396e+00,-8.105668434175669290e+00,-1.698068078974225958e+00,8.281012216388463187e+00,1.690733189520248203e+00,-2.340449401706889088e+00,5.446788015993332621e+00,-2.543226413811174424e+00,2.046038590973867421e+00,7.538650533873461512e+00,-2.735726101999262916e+00,5.245057432755261928e+00,-7.881207772458804328e+00,3.150051463442573585e+00,3.988383136077900737e+00,-6.182305845764404673e+00,8.594187219378826015e+00,-6.175394157999548606e-01,8.474810288774927258e+00,-9.864854414002000027e+00,-6.695775067149619453e+00,-7.705689563333610437e+00,2.642143705355823435e+00,1.780318485807411699e+00,1.201637916833358410e+00,-8.750878374619560418e+00,8.107203294554419237e-01,-3.386040616815233051e+00,-8.725839498531993144e-01,-6.937691384871054190e+00,2.918084505579198407e+00,1.909215347467043244e+00,-9.729115641988189012e+00,2.504643028910163771e+00,8.790125262005217266e+00,6.061251622519725935e+00,8.739338544980011392e+00,9.646953144746614583e+00,7.673778493872478457e+00,-3.858578483740467746e+00,3.575276095334813942e+00,3.139497208837400688e-01,-6.200874506045044754e+00,0.000000000000000000e+00
-1.607124788535909898e+00,-8.380414755148297701e+00,6.580071868402335156e-01,1.056460251169010434e+01,-7.853476913170895024e+00,-8.086558770631837589e+00,5.721573434674861680e+00,2.009013752515368623e+00,-6.478505933135569883e-01,-8.059395543389637595e+00,-4.595301900545508467e+00,7.273694572741770337e+00,-6.009602857847300417e-01,-4.311584805943986520e-01,-1.061426222742184677e+01,-4.441227766246698572e+00,-1.249492397398487942e+00,3.387243332173207833e+00,9.244393273212072160e+00,2.635286605078657196e+00,2.745916446617180817e+00,-6.446772273384509866e+00,4.661641914163873857e+00,5.972817705866271254e+00,3.544604860169149774e+00,-7.753045994985336975e-01,-7.330020575332340194e+00,9.539561313957432009e-01,-1.316586583789625120e-02,9.381939181926997051e+00,1.382326671980371735e-02,9.371656446135038232e-01,2.762275747138556725e-01,7.874188295145971850e+00,-8.702173726341817073e+00,2.898930988749577331e+00,5.552608126828320501e+00,3.798919855411967639e+00,6.222763562273217808e+00,1.713430595875571338e+00,7.493611312089293541e+00,-7.079867683597774075e+00,-8.966629489170690803e+00,2.401367271139602799e+00,-9.379531036900335295e+00,9.078388066868491535e+00,-3.853688924338392496e+00,-6.410396990900864900e+00,1.028336164797485131e+00,8.110200512319766020e+00,7.944372289882440263e+00,-4.652029425928764006e+00,-3.166663625788456393e+00,-7.053771094865243008e+00,6.587063716348578346e+00,5.177186583589006297e+00,4.902405289600126004e+00,7.957532147563009417e+00,5.648559375940307881e+00,1.991011642782078761e+00,-3.896755257010900753e+00,-7.524284508983856590e+00,-5.108191646904042926e+00,3.405923010925107519e+00,1.000000000000000000e+00
-2.593923463458385203e+00,-9.143245236850523483e+00,-7.026776445023674711e-02,8.800743067160247790e+00,-7.750638574082738153e+00,-7.865546866794820957e+00,4.830501973756899048e+00,1.671326182217490297e+00,-1.362459706040331842e+00,-7.929097957283556042e+00,-6.275710589690195462e+00,8.990674286588941300e+00,-8.214667753099114123e-01,2.855190451368567750e-01,-1.141587401848649641e+01,-3.406230354909669078e+00,-3.012004812306515733e-01,1.439065352661763164e+00,8.157303275053431335e+00,2.889489336413604725e+00,4.254843712830954416e+00,-7.091935470779305639e+00,4.763745224969617276e+00,5.867054623731560170e+00,1.811524584622326683e+00,-1.261946507104180215e+00,-6.372169756616681724e+00,9.008011654989012129e-01,1.195809646162734552e+00,8.936575335377513696e+00,1.258339518649720823e+00,-5.838522779227366399e-01,8.805171813241297052e-01,6.606942245987061924e+00,-9.561455442288098183e+00,4.050599762475567189e+00,5.737457973178565318e+00,2.591988552186709427e+00,5.032102423921619661e+00,1.449332743242513377e+00,7.760678732014811843e+00,-8.885539001539195070e+00,-9.092292990241169548e+00,2.159410424552612007e+00,-7.766551944061294677e+00,8.896316020449269502e+00,-4.391863586291353982e+00,-5.781572865349099644e+00,4.279870033647321659e-01,9.327115624095014823e+00,7.497674717475540263e+00,-4.541780636708351082e+00,-3.701752142089451247e+00,-6.513342929765705058e+00,8.782721579426750580e+00,3.811648634067430486e+00,4.432074527256906649e+00,7.557714150053015167e+00,7.068269463518101148e+00,2.279872243845486146e+00,-3.731528499053050396e+00,-7.588361423820932039e+00,-3.065712890998821383e+00,2.644580225785318817e+00,1.000000000000000000e+00
-4.246900094032493911e+00,2.788972278618105261e+00,-7.113216376630804305e-01,6.070837942429463396e+00,6.521159553164499023e+00,-3.556569173415688123e+00,-5.020257502097375202e+00,6.106549484200824551e+00,7.871190589406459992e+00,8.121273712809426115e+00,-2.922785104388272437e+00,1.758792214523414721e-01,4.876827278101819374e+00,3.408140226586493071e+00,-1.109822277706121518e+00,5.924601073327006029e-01,2.165729381339801807e-01,-9.345415584078494931e+00,5.582249041660324096e+00,7.745866827653484776e+00,-3.638798006941627694e+00,1.602332725171614625e+00,-8.881009835686279885e+00,-2.484024983105357354e+00,7.462451400957363923e+00,3.152318033845743717e+00,-3.197530754606196624e+00,5.926487355757170228e+00,-4.035386993304198811e+00,3.807778063538902469e-01,8.196340088094183685e+00,-7.042099904513432485e-01,5.530372227826639175e+00,-8.081929522686028378e+00,4.173642316499422300e+00,3.799877375892680043e+00,-4.372123396571316434e+00,8.296208018097036785e+00,-8.745803287225903944e-01,8.569325097564062688e+00,-9.467680409845439016e+00,-6.629361767472738087e+00,-8.200269105261037694e+00,2.962887330302439892e+00,3.215969188774203680e+00,1.118946665766358928e+00,-8.637000031822831048e+00,1.545017094341375463e+00,-2.304587591554889681e+00,-5.215736478170379664e-01,-8.349803055044462852e+00,1.477909350569279301e+00,1.162346545154981703e+00,-1.124722587139670082e+01,1.328903287549296985e+00,8.163704589510128784e+00,6.124006676108026959e+00,1.077766998622307071e+01,8.480318877556582535e+00,6.911895172381069763e+00,-4.475331954681235125e+00,3.477410804591612337e+00,-8.290030048996188672e-01,-6.090434759825690492e+00,0.000000000000000000e+00
-8.243781736933909698e+00,-8.166119826081907007e+00,-3.909725161775853497e+00,7.381466555648326100e-01,5.893059309636047516e+00,-5.626013382152229347e+00,-6.962776479833366672e+00,-6.991520373884173800e+00,8.711878689145148513e+00,-6.314614795053064888e+00,-4.424806307763512692e+00,1.408429866660504404e+00,-8.976246835570767857e+00,7.319603941311098261e+00,1.019719775435276077e+01,2.860956190104670505e+00,-8.976902335063620342e+00,-4.142875969126377456e+00,4.250548767973107545e+00,-7.803523063870958509e+00,3.648332280703413533e-01,-4.121209990040883397e+00,9.747483861499553370e+00,2.600793581471470439e+00,-5.958716113197711550e+00,-8.270659819797916867e+00,4.730763337956370052e+00,6.256713369463193786e+00,5.131582755782328142e+00,9.242968215679402633e+00,2.280577842243270315e+00,1.029826964398198763e+00,-6.634146225318762191e+00,4.536793869657569367e+00,1.051420769917165465e+01,7.975316794221793515e+00,9.839475669900696886e+00,6.135072719641603278e+00,1.585862302038832716e+00,1.682531591724589770e-02,7.962401888393313421e+00,7.986104013603462448e+00,2.362412046929213805e+00,-2.717188686277628218e+00,-4.678158325047205857e+00,6.199555181117956337e+00,-6.952747635464571196e+00,5.457293699381189356e+00,-2.409912961655300556e+00,6.390117773943185142e+00,5.525178789556633774e+00,3.575154482207848261e+00,2.255102728262153189e+00,8.560705834840709461e-02,9.222506926575270825e+00,3.795823628868169930e+00,-1.494020659336225965e+00,-9.678629098039268186e+00,-2.035799442286221783e+00,4.746098275022649027e+00,1.307654343211908099e-01,-2.837908791056909852e+00,3.093977942799270409e+00,-7.087556121440977464e+00,2.000000000000000000e+00
