f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
-6.949738507994880354e-01,8.759721238848822367e+00,7.795598658596751385e+00,-4.772888292672184285e+00,-3.261755024490338162e+00,-6.639278279021842977e+00,8.148283389274491029e+00,4.068045476239373848e+00,4.170533113134132996e+00,8.520033173326172715e+00,5.731250261271942037e+00,1.963120471906500519e+00,-4.231217784323488829e+00,-7.396992861696348953e+00,-3.854922013596534747e+00,3.024974641157141431e+00
-3.631594579462914751e+00,6.062714249638145869e-01,-7.530838651218840774e+00,2.155991283322169050e+00,1.753561800923948866e+00,-9.839623406792636473e+00,2.419738576150955112e+00,8.397900841955598494e+00,6.359063662813477791e+00,9.659652688700756329e+00,8.888818708261677415e+00,6.275405329986107006e+00,-4.107711759581631483e+00,2.423666639029378622e+00,-6.335278197847573622e-01,-6.281147814195955803e+00
-3.466145052256517367e+00,-1.207823246343844303e-01,-8.011104408786589914e+00,2.252018903113273574e+00,1.565677796662618526e+00,-1.065456852508427588e+01,1.940306366024590501e+00,8.358586741045863633e+00,5.260910071886241823e+00,9.809273505260499348e+00,9.495119367017451850e+00,5.483179157884446653e+00,-3.960102965606576930e+00,2.173755169794250541e+00,-5.718935434356927638e-01,-6.063347691340174705e+00
-8.352685182257005181e+00,-3.362107779996262646e+00,4.551562985829432861e+00,-7.081393340800347325e+00,1.062804298992709562e+00,-4.483714937234807962e+00,9.557124258212940759e+00,3.278614283461393608e+00,-4.961608233033954818e+00,-7.745759787290715792e+00,5.508767848074072049e+00,5.655051915104561289e+00,5.221683597981205516e+00,8.178139286011688824e+00,3.101428405783827280e+00,1.332379719732369239e+00
-2.415675694875270008e+00,-1.626996273429050177e+00,4.209318961398240688e+00,5.312096078654620968e+00,2.328118451373144993e+00,-3.046275175994316076e+00,-2.579632121553419033e+00,3.327616446260220240e+00,6.919258159914892126e+00,3.169987894109783433e+00,-3.914046244416135245e+00,2.329000928088382771e+00,1.476951394987140453e-01,4.911975399741731252e+00,1.402121246865259518e+00,-1.016447259088959498e-02
1.799628131843092227e+00,-7.995574215246696426e+00,1.657896207254237808e+00,6.916909049463091819e+00,-6.553950857151656706e+00,4.888835119139001151e-01,1.755867237145785742e+00,4.913734797050496539e+00,-4.740948811112588146e+00,-7.035459808433691009e+00,-7.221863311509707728e+00,5.763464369286577238e+00,1.051902674798248505e-01,7.172733858759254844e-01,-9.468228384535226638e+00,-1.367593435771711885e+00
-9.862656377457228452e-01,8.333004638325274271e+00,7.429554951259495610e+00,-5.180121444819315357e+00,-2.919920223312201024e+00,-5.956948390629953849e+00,8.091604671010305339e+00,4.382959598034223525e+00,4.670804370402905192e+00,7.713461743957730654e+00,5.575418736858058111e+00,2.100689908929378902e+00,-4.072007545705178089e+00,-6.754202935069468339e+00,-3.173116416554027985e+00,3.233454770773714682e+00
7.841090100443524058e-01,6.348622957541017797e+00,-8.887974431987629487e+00,3.472343546245975521e+00,5.364493735545355690e+00,4.152980604295892775e+00,5.912533119558921690e+00,1.238223695277709036e+00,9.297221976748460293e+00,-7.074468446461740001e+00,-9.412365682074725015e+00,1.898981634338296365e+00,-7.666464099592533721e+00,8.922471531429039260e+00,-3.540999557542318765e+00,-6.254329464128298710e+00
-8.462818359504854726e+00,-8.990718440962707447e+00,-3.498691099520081949e+00,1.739935396595764239e+00,7.267978648592807289e+00,-4.262995881719424673e+00,-6.382435110632211028e+00,-7.192932902082564084e+00,9.751331067289338961e+00,-6.472405361712881167e+00,-3.748040560039861191e+00,1.411043150123801215e+00,-9.797422309348352343e+00,8.027563366078274143e+00,9.466922367841092978e+00,1.170675657624997257e+00
-3.212376777461280142e+00,-1.377797696188065579e-01,-7.832706673888192306e+00,2.237186998795198889e+00,7.758430382111113355e-01,-9.747395563829659437e+00,2.518091852309802370e+00,7.999982804162334205e+00,5.990432249606459258e+00,9.893601356895583621e+00,9.259207738952506261e+00,5.931929418081621108e+00,-4.634321136417149489e+00,2.890109373782117963e+00,-1.055852759278452790e-01,-5.951983770499008841e+00
