f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
6.077227249729747705e+00,-7.109936589596882683e+00,4.143386236578526116e+00,3.986910064250145602e+00,-5.510564747088287696e+00,8.500732823409617112e+00,-1.031896944807045635e+00,8.229618430156817155e+00,-9.014735521211370894e+00,-6.267890284029845382e+00,-9.030670782567153054e+00,3.528740754470629959e+00,2.040322157628510880e+00,8.227961267659527067e-01,-9.183498826248309044e+00,1.227948743074618321e+00,-3.360393653444725182e+00,9.400505757691401953e-02,-7.804136693969262240e+00,2.165441084365013591e+00,1.230253210585570578e+00,-9.773171079013392770e+00,2.436617323889421982e+00,8.120179909495702120e+00,5.699412021384825167e+00,9.809124868398004793e+00,9.065065611613578156e+00,5.788701776789507925e+00,-4.397198183147558836e+00,2.628324570571238361e+00,-5.775991690227555431e-01,-5.989355093578096145e+00
-6.288238333171416450e+00,2.367375583565538566e+00,-1.006653735312350140e+00,5.673039362489946669e+00,5.850517499927559761e+00,-4.469123705592243923e+00,-4.228718900083274335e+00,5.881118306311596378e+00,8.997718485030340219e+00,7.291217832733379645e+00,-2.963123361693808189e+00,1.840176367844242877e-01,3.860715495788636265e+00,4.269359588522060989e+00,-2.642780250113048623e+00,1.352962439506410597e+00,1.690324361947180831e-01,-9.631821210944600864e+00,5.348336619787596113e+00,7.438324215013138563e+00,-2.825239193153446404e+00,2.672730928851891008e+00,-8.416113825346172916e+00,-2.774498626210345709e+00,8.662566929874365940e+00,3.236115998879937727e+00,-2.273199471873740052e+00,5.742611336454395143e+00,-3.552507509029063204e+00,1.291186562291631645e+00,7.540921371840058285e+00,-1.373348386053453662e+00
2.643617944403424680e+00,1.097779585242230738e+00,1.360488749241623330e+00,6.145847723767303705e+00,8.655661191188425363e+00,-6.095450913574280705e+00,4.230861654861515220e+00,4.039490484389689051e+00,-4.943875464097800432e+00,8.264604641762305803e+00,6.372930295335068607e-01,9.997370047087091871e-01,-3.361354919108834327e+00,-3.121001326776330131e+00,-3.338926732171426881e+00,9.580195825551637512e+00,-5.864723858068244589e+00,3.312512096592873601e+00,1.493414763381283983e+00,-9.006244193804709752e+00,1.002597026766414157e+00,-5.780311324475508883e+00,-8.191442793045727200e+00,7.478977247191608946e+00,-9.561807670601925935e+00,9.374030239328872582e+00,-3.488197317793988894e+00,-1.663928057259233206e+00,-7.413906061736435404e+00,-7.415983632362956435e+00,-1.617404960048233864e+00,2.405720908000476221e+00
9.029370325273045950e+00,5.089364314131820777e+00,8.153680337557329239e+00,-5.331188830660311240e+00,-1.274287126933337788e-03,6.363023242017919578e+00,8.938834275445859845e+00,2.845853530835336542e+00,8.134616363890955881e+00,3.889162243257160867e+00,-9.149832607768912496e+00,6.717923463239753090e+00,-2.524590525675728170e+00,8.745077692146077553e+00,-4.580859098418135211e-01,-7.561072382281591509e+00,9.257427057008012383e+00,-9.733673022461506008e+00,3.672455633910170381e+00,-7.176531205381334821e+00,-6.869917620355158405e+00,3.038307168054172003e+00,9.718609121811516260e+00,3.902274294479069372e+00,5.241526188022396227e+00,-1.348674481751799492e+00,-7.223160365655229675e+00,-5.710918458277632226e+00,5.215458160635884077e+00,-8.981557278482641848e+00,-1.983144259658780051e-01,-6.342520646272774343e+00
9.067252823240743442e-01,6.426205964289569472e+00,-8.781164891505673253e+00,3.154429098733308123e+00,5.176362092819037031e+00,4.242923926178199245e+00,5.781318002339280504e+00,1.238171081482693836e+00,9.371917647184789146e+00,-6.977986436370431811e+00,-9.369479753170125491e+00,2.056022038684917064e+00,-7.802737659537631210e+00,9.121270902651852808e+00,-3.319333009995088624e+00,-6.194896185558398827e+00,-8.817539213341654136e-01,8.417344143368506337e+00,7.482470551066433551e+00,-4.967803475049967332e+00,-2.918399462239091413e+00,-6.322143873598685460e+00,8.127772472698039152e+00,4.147168132301480625e+00,4.626574618987902454e+00,8.031469710415263918e+00,5.485939175332796403e+00,1.834451345960401270e+00,-4.256696903427841683e+00,-7.144112310071085936e+00,-3.352637730017823170e+00,3.197241677389950798e+00
7.648232239543468758e-01,8.317358760836934817e-01,-1.310297916880043934e+00,2.515440074206898746e+00,5.325983339900107083e+00,6.711389179490434564e+00,-1.144382556654516492e+00,1.091606458208006725e+00,4.720952042472436716e+00,5.561031944428358464e+00,3.216433876733971964e+00,-4.130894478993464070e+00,1.424850844486234003e+00,6.470776260003212599e+00,-2.447400184252233046e+00,8.573398480830732860e-01,-7.059234174058424127e-01,-7.714147020741446426e+00,-2.570568998860503385e+00,3.487493779621239742e+00,9.329542553612107270e+00,6.565645545048851561e-01,-2.129829086823703310e+00,-4.173557383553037958e+00,-8.823269369626459024e+00,-6.713254420656654453e+00,-2.760861897410014976e+00,-5.394790302756184985e+00,1.109944384349164315e+00,2.894733967843900579e+00,7.472561540835874538e+00,3.473338576361300944e+00
5.609703806392758452e+00,-7.418707287686080676e+00,4.006574752147867180e+00,4.708761948684017540e+00,-5.481667666529207672e+00,8.833931564811232207e+00,-8.580667128897654372e-01,7.250013176789373404e+00,-9.173934245911848251e+00,-5.928730802250811394e+00,-9.188282382749694222e+00,3.431799806008862141e+00,1.466940289479748749e+00,9.519068162051995685e-01,-8.235832957646049834e+00,1.547028078836827358e+00,-3.693530937571075867e+00,4.196567708164553601e-01,-7.394474286496576454e+00,2.258078553905312980e+00,1.206585143938491367e+00,-9.732841932113725392e+00,1.684656645684249998e+00,8.316731643171779709e+00,6.062544081170260668e+00,1.003481262354941705e+01,9.760151134561134256e+00,4.660584358040736674e+00,-3.639484760573667099e+00,2.202759973212528699e+00,1.548823745094467519e-01,-5.967772338960461553e+00
-3.968139845894707918e+00,2.617212608206481939e+00,-2.568551810067456032e+00,2.511234627537721309e+00,7.020993239711935452e+00,2.634434107874562336e+00,5.123171151062369866e+00,5.762346518094414449e-01,6.684997608733394436e+00,5.100523361419680768e+00,5.215962102974667225e-01,-1.155220596485691642e+00,2.733488609225354971e+00,5.089219179361014866e+00,-7.681440230106895584e+00,3.724984784226891499e+00,-4.581718355129663633e-01,-2.862841554594719451e-01,1.288101691946399452e+00,3.204152077148155975e+00,-2.358746119568127408e+00,5.927066727222006781e-01,2.845930963825133553e+00,-1.095364818520567329e+00,1.459757345982373389e+00,-2.177470391771947789e+00,-5.502464233344926958e-01,4.653326429887227000e+00,-1.105081619537769289e+00,-5.803499467680172330e+00,4.458834743940911061e+00,1.619152317911133565e+00
-6.407851877829160436e+00,2.753261927798427156e+00,-1.234243183496515961e+00,5.915643590531799667e+00,5.326755541580234343e+00,-4.312448168796253256e+00,-4.784962253496325424e+00,5.872469442940504436e+00,9.434351094330134302e+00,8.028879981480406158e+00,-2.892896242093839110e+00,-1.398324156485095671e-01,3.241268672001730078e+00,4.489874963994539669e+00,-2.536998978146340455e+00,1.218038665670406084e+00,2.816644946501533076e-01,-9.626169716062003445e+00,5.982108906512397795e+00,7.510071353321069232e+00,-2.477822074346835990e+00,2.201928469349770712e+00,-8.502800762347646923e+00,-2.171395781182334783e+00,8.302522604216083124e+00,2.892544689074926012e+00,-1.852569707607460314e+00,5.995246422970740952e+00,-3.451666940361991731e+00,1.318580632058537816e+00,7.242358695691905268e+00,-1.077860250681909271e+00
-2.977605720311829351e+00,2.632249379438010628e+00,-2.833384020973437778e+00,-5.809015409206617520e+00,-5.530645850014797027e+00,-1.632805870707407125e+00,-8.750484904243240436e+00,3.149691743175391689e+00,5.056314761445449335e+00,8.796793746771570000e+00,-2.457044622640318643e+00,-3.752667149901613541e+00,-2.574943505684956335e+00,6.529965562980674321e+00,7.942798634274573999e+00,-1.498410136860901298e+00,-9.991478659517728289e+00,-9.085250720123957180e+00,-7.008693246672990540e+00,1.796528204247734850e+00,-7.862035498319599469e+00,-3.842583737989044845e+00,-8.822919849715340490e+00,2.211167150610854559e+00,-9.570071623374955649e+00,7.048073296441039304e+00,-3.918590858014216138e+00,5.256005740462702747e+00,1.210491766753736931e+00,-9.339016971723964389e+00,1.261320609916260382e+00,3.239668852222352680e+00
