f0,f1,f2,f3
8.508019566035091685e+00,3.091491334910414501e+00,-1.946416277887752733e+00,5.867963549395430078e+00
3.636692317936526031e+00,4.264845938948253590e+00,-2.554096114759769165e+00,1.431108501868870952e+00
-2.630051132170681427e+00,1.762366995075887344e+00,-8.730402722349918321e+00,-2.720308287549431991e+00
-3.578498541696034430e+00,1.275833324677306146e+00,7.301922517161735904e+00,-1.104618666312271014e+00
-5.871773146635939966e+00,5.448646763800602422e+00,-1.240114247902633249e+00,6.968016225611359360e+00
6.021916091248965763e+00,-7.187920131490618481e+00,4.012040627730857345e+00,4.229611830387638882e+00
-2.696402391040967572e+00,2.814834583399893120e+00,-8.145199228450866968e+00,-2.247404549267999929e+00
2.585207331134808939e-02,-9.556240295017438768e+00,5.378228970325208635e+00,7.722260550508435628e+00
5.680083641969335240e+00,-4.513154092526819205e+00,-4.504856264786964104e+00,5.983639196021081297e+00
9.232730318936422265e+00,7.325727545865682089e+00,-2.843838878921929769e+00,4.403196973499756695e-02
