f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
8.048665134777360564e+00,-5.256548889925647394e+00,-7.503575869033513257e+00,-3.604876798868305698e+00,6.935138191387015816e+00,6.670826049902705890e+00,-3.245153185544223717e+00,-5.193358380888704495e+00,7.471816168207461306e-01,-4.585683280476525070e+00,-9.462427991565416363e+00,2.524736991657177132e+00,4.212585651703487644e-01,-9.075576112021195740e+00,5.159600118922893941e+00,9.777474868263695384e+00,6.053761120840078114e+00,-3.198442019161446215e+00,-3.348138790861010072e+00,-3.049786177334612880e+00,-1.237908328591533547e+00,1.560908762754957602e+00,2.413758255884718373e+00,-6.245456939475817926e+00,7.216875034765716457e+00,4.170191622920230046e+00,-6.630493501856113525e+00,7.125602988233750601e+00,-9.621015489548867095e+00,2.825708217456303295e+00,-6.771567579816250237e+00,-4.805233023679448934e+00,-3.282596132208523976e+00,-9.890241476922971842e+00,-1.240302674896891277e+00,5.901835632637236984e+00,3.636256395656968454e+00,7.619239945827294136e-01,1.162252794990902283e+00,-9.648459685319318524e+00,2.115073706831067657e+00,9.638429042373838129e+00,-5.512504638561865455e+00,1.758193197752951908e+00,6.680882314039196856e+00,5.773599228212686008e+00,-3.333056985879580658e+00,-2.848908808045388152e+00,9.204614533241436192e+00,-5.409159793595167187e+00,-5.708171811453722988e+00,-6.816898170588141959e+00,-5.313879851885805472e-02,-4.727410619722721918e+00,1.058245104397009362e+00,-8.436735666195387395e+00,-2.560909276432052906e+00,-7.323469854858074557e-01,5.706325989798962439e+00,4.420129352758139341e+00,-5.382006036489329404e+00,-9.605053110876731637e+00,-4.851364256710348322e+00,-1.870919777895789782e+00
-6.241357804023216715e+00,2.520922911594641214e+00,-1.261881361085209763e+00,5.739056173868037902e+00,5.510322408617872370e+00,-4.442339268869275770e+00,-4.486188987536290362e+00,6.176944976835709866e+00,9.173430453509872962e+00,7.487909616980775063e+00,-2.907444233958810464e+00,6.290281875012615487e-02,3.587507948684629522e+00,4.147852600583668448e+00,-2.652155640480915899e+00,1.164850271628679046e+00,3.092618922207701626e-02,-9.641698200099067861e+00,5.496357732564522536e+00,7.668252629105318796e+00,-2.744184791959897396e+00,2.357530644866277392e+00,-8.422394840535400107e+00,-2.652307831739966648e+00,8.669777117262990274e+00,3.196050226850164933e+00,-2.076880414513711415e+00,5.918892603408577813e+00,-3.601057982995148343e+00,1.466411866252948837e+00,7.448646074339925427e+00,-1.255719253354379727e+00,6.091165022162703835e+00,-7.050842034907564226e+00,4.092870249256471027e+00,4.114742656060506931e+00,-5.667641042964313591e+00,8.551640032924970214e+00,-1.105178518916168029e+00,8.087890419885065185e+00,-8.728804129456044336e+00,-6.233944560874009611e+00,-8.990046141314760320e+00,3.487832173614918929e+00,1.804870453578279133e+00,7.232597204266637547e-01,-9.019070390374352542e+00,1.374913835883790236e+00,-3.195083195943321019e+00,5.827060899880143197e-02,-7.666388626340736145e+00,2.008322701651455766e+00,1.236862616054458464e+00,-9.843061281221105574e+00,2.224287913604257483e+00,8.291010229179892832e+00,5.810558721631652546e+00,9.891942723731320442e+00,9.241675678921854598e+00,5.826997766649506083e+00,-4.263937500426626670e+00,2.470637876403183775e+00,-4.009388172403487438e-01,-6.182182666114679037e+00
-6.558897255702408557e+00,-9.267518487362886859e+00,-9.001437764401986286e+00,-5.209207167081902234e+00,-7.742075348650232947e+00,-1.515072885113828205e+00,-9.284056883772835889e+00,8.456874739760790405e+00,8.984808657400080278e+00,6.371261205096495850e+00,-5.707835722091758157e+00,1.746753707310224391e+00,7.999135060724230861e+00,9.156027689005803438e+00,-8.823108649195571473e+00,-3.545144111808703702e+00,3.506499077016638211e+00,2.851707696310598283e+00,2.362448955905011694e+00,6.539206051628781324e+00,4.291073105658539610e+00,-3.160960225339154661e+00,-6.688206925501719802e+00,5.221796245975998119e+00,-2.881998030290546353e+00,-8.492522843435809321e+00,5.179884542742826170e+00,7.201891152720289568e+00,-8.976050515543761321e+00,-6.526410811267601808e+00,-1.660117651647989190e+00,-3.383426722399440756e+00,-9.209240174459150552e+00,-7.833470555454133510e+00,-8.894914630402950273e-01,-8.861948491041495402e+00,6.550769382976119992e+00,6.736876595242113908e+00,-7.579853889630377317e+00,-5.801497030459477067e+00,-1.452863796918138384e+00,9.214528936789459834e+00,5.373765579938234005e+00,-7.571449242319588713e+00,8.885476110450355236e+00,6.146573655626673016e+00,-2.017301068807414666e+00,-7.270106419060277325e+00,-8.864179745372018360e+00,-8.093830581081901343e+00,7.745582581458331006e+00,-6.771041931229420996e+00,-2.199264573812562240e+00,3.059186334311847055e+00,2.529430354140927761e+00,-1.631005617065095059e+00,-2.633326008737363111e+00,-8.589007647679579804e+00,-1.201299638463662056e+00,4.393984849074196397e+00,4.733338808305070700e+00,-6.127166044043430126e+00,7.068398330347806180e+00,-9.858652981325322529e+00
-6.630577704099927416e+00,-8.550408736425406886e+00,-9.608204314137475777e+00,-5.220598607237832312e+00,-7.808334763277284374e+00,-1.859123090840490988e+00,-9.129701523479450742e+00,8.590552432499984903e+00,8.932217829958190691e+00,6.202264668774497558e+00,-6.380590691933550218e+00,1.910869791952458874e+00,7.917442545692539468e+00,9.347793965124592930e+00,-8.801593242234657666e+00,-3.696503307329917387e+00,3.849261415552189369e+00,2.901895025736475286e+00,2.631529864139154462e+00,6.601701817601862032e+00,4.166347211702947639e+00,-3.332585152086292801e+00,-6.489604198427025850e+00,5.321967129738984781e+00,-2.747374443635831831e+00,-8.091755435186847478e+00,4.484937984347198814e+00,7.803072524621760486e+00,-9.371028570872624641e+00,-6.591137273812626596e+00,-1.638686635434997596e+00,-3.266472617377279342e+00,-9.181332711186181328e+00,-8.058875530848434110e+00,-1.364635227954343000e+00,-8.533609012283909223e+00,6.393209410701048867e+00,7.402658670815142727e+00,-7.163626949955862244e+00,-6.239800293095989048e+00,-1.119451865722553840e+00,9.504613756966913130e+00,5.438750271297542405e+00,-7.296264688821337607e+00,8.550342707876916748e+00,6.603163647366989686e+00,-2.369005052200758854e+00,-7.238290855033850946e+00,-9.195123025999905053e+00,-8.068111614057713155e+00,7.901696975311836013e+00,-6.683148903993212819e+00,-2.883045369239309874e+00,3.211751403845171993e+00,2.171664674082832924e+00,-2.305421009931287735e+00,-2.754011909939547920e+00,-8.837723701206563476e+00,-1.521532711630847468e+00,4.424831565149569101e+00,5.349461575818620140e+00,-6.088194819734717100e+00,7.428977463423454886e+00,-9.415976774719686304e+00
-6.095649682765989397e+00,-8.693650571452037568e+00,-8.770472362905200825e+00,-4.685048861563321232e+00,-7.237378549510792958e+00,-1.367650641176538340e+00,-9.287078980501412673e+00,8.233121339584318576e+00,8.187248913577803933e+00,6.569733609495042259e+00,-5.959642249863604135e+00,1.734157378603731647e+00,8.190311223264018281e+00,9.087546405673590399e+00,-8.427542179001338951e+00,-3.884918109450008483e+00,4.490763605986194840e+00,2.418740731517643905e+00,2.433689209306345802e+00,6.599328410485448160e+00,4.449401262446675887e+00,-2.865146906273733585e+00,-6.682192658654114936e+00,5.408575526572978021e+00,-2.746970756822331161e+00,-8.382792100870634755e+00,4.922867281238072046e+00,7.769352731013837499e+00,-8.742998948694943095e+00,-6.840467625327584678e+00,-1.611775098485033864e+00,-3.088184216651542968e+00,-8.732618019359502881e+00,-7.642676543998272010e+00,-1.523693378603295567e+00,-8.359055845554228981e+00,6.012685461335701476e+00,7.451494901699719620e+00,-7.413323390485731856e+00,-5.877031276753937661e+00,-7.822001520083810000e-01,9.124891560834026194e+00,5.394889068284084210e+00,-7.515718858095354449e+00,8.972995340305788048e+00,6.489304279609591219e+00,-1.870135412919082363e+00,-7.397987997308176134e+00,-8.950822526101003263e+00,-7.910945063150670364e+00,7.238082729083274991e+00,-6.578923500212414233e+00,-2.820363060255599130e+00,3.480780035986149379e+00,2.019447638784482191e+00,-2.204640004642506312e+00,-2.198066158296022365e+00,-9.142503239885128252e+00,-1.727268845858549451e+00,4.631148014029228044e+00,5.590711527393676938e+00,-6.692160777380912862e+00,7.646425906887420965e+00,-9.063869244842338802e+00
2.615207734522075445e+00,1.090170473807775986e+00,1.220324063654956159e+00,6.243893460898608083e+00,8.724476399237666158e+00,-6.166387716466953606e+00,4.311199904247751569e+00,3.950514875678329929e+00,-4.896785657590749352e+00,8.418668018558985722e+00,7.331684304074741476e-01,1.013400532829667799e+00,-3.475182965091917708e+00,-3.169908678836989679e+00,-3.461012023684415517e+00,9.465417601882048615e+00,-5.835810858600099849e+00,3.197034827665049317e+00,1.553749771093394516e+00,-8.978925161438851887e+00,7.135655608140452077e-01,-5.655728184738842756e+00,-8.163495970686422964e+00,7.491932250478763322e+00,-9.520830060126138861e+00,9.288154001679354010e+00,-3.419681164505635529e+00,-1.777139480696721563e+00,-7.200275839148901014e+00,-7.498299736916922420e+00,-1.800754607681448904e+00,2.320045247806480138e+00,-7.393370795605160417e+00,9.506012255202797689e+00,-6.420279382189380435e+00,5.159509216980477930e+00,-2.891978162838300115e-01,5.482870649092614457e+00,-3.838824918164916333e+00,-9.743082664893300660e+00,-7.892286661200955677e-01,3.923559595111874021e+00,-8.792752170343845819e+00,3.426856627969878666e+00,-3.062258102484925359e+00,1.732089681727930319e+00,-5.446556164069473738e+00,-4.546146204968136928e+00,8.676449464784404597e+00,6.396595079788832905e+00,-7.323380487991284937e+00,3.062620603345216352e+00,7.804449802915286227e+00,4.753744866648204059e+00,2.678574866530611942e-01,-7.370128521847833625e+00,-9.110965816562977437e+00,6.609258096769615953e+00,-7.801571536711401578e+00,4.819282125587251997e-01,7.487739409222522902e+00,-9.245378890832824936e+00,3.984916560221209103e+00,-5.004548567217828037e-01
-1.300247637751271057e+00,-5.323925114051196950e+00,-2.368056994483933586e-01,4.029838800839176116e+00,2.398800948307928671e+00,-6.980672656355983108e+00,1.296010701787673414e+00,-4.275059009141594757e+00,1.659649978414128313e-01,-7.758461867556586178e+00,-5.979929931644115015e+00,3.209748131495118173e+00,-4.495309103532243000e+00,6.304833571823161620e+00,-2.718589641891040909e+00,-2.076138023808038913e+00,1.383278453554002696e-01,-9.991705239535365601e-01,6.846614085724877619e+00,-1.035844734365285014e+00,4.768728038198000618e+00,-1.325815819443925569e+00,6.629485885031195735e+00,2.054782177362098894e-01,2.312545920769843111e+00,-2.931151316044508626e+00,-2.426130199399580079e+00,4.813820527130798332e+00,8.605396077816740430e-02,3.356067354658176516e+00,2.413620944072581764e+00,3.609111695101923090e+00,-1.559925129399114097e+00,3.052948794435334623e+00,-3.055990705980572208e+00,4.485051555345567209e+00,8.219165273993109366e+00,6.622141974142691900e+00,5.004773207373026445e+00,-2.078703089921040803e+00,6.583358670918913802e+00,2.389828817359846980e-01,-3.366999794966524462e+00,-3.417331469997370696e+00,-1.213658417453540528e+00,6.672999977866516552e+00,-5.737775296024999250e+00,2.137284529222940321e+00,6.535230678981311936e-01,3.538423636908119452e+00,6.481197317532084057e+00,-2.435171074698063709e-01,-3.373405082083854811e+00,-2.690756318511192013e+00,4.659343129110570914e+00,1.054573229597443706e+00,3.306955974852530566e+00,1.232929539557405585e+00,1.502766436783949278e+00,2.137694721790219354e+00,-1.645891279692034637e+00,-4.881319712766289065e+00,5.975752274044106027e-01,2.698959101113398429e-01
-6.230464543948984968e+00,5.963049759655581816e+00,2.302008346767997704e+00,1.125348245697232574e+00,2.663507044232290788e+00,3.702243576486092369e+00,-5.185402290231072797e+00,5.821099934148783461e+00,7.102374906395768406e+00,4.572595666856360097e+00,3.841432162307570675e+00,-4.337376115179831793e-01,7.300256633413896523e+00,3.349641953005476402e+00,-3.446464887259264476e+00,2.404645389008864265e-01,-2.068111309512175477e+00,-9.354630206856436203e+00,1.452696883449793308e+00,6.994475371472655745e+00,8.919327869458996361e+00,3.608730593892229166e+00,-8.506651662338429176e+00,-1.801394812645706667e+00,-8.942843346179460084e+00,-6.429463898639450115e+00,1.143434865134568490e+00,-6.677888989878305814e+00,1.323131306298872989e+00,2.983225179345030398e-01,7.531661456181658387e+00,4.379309016216013539e+00,8.131156167880650543e+00,-4.320208507013568955e+00,-4.884958547166644571e+00,4.078135128787137020e+00,7.978662012898413813e+00,9.720185770673985814e+00,2.762828996629950407e+00,-3.469762029228395495e+00,2.112523624998916993e+00,6.413878811417182746e+00,2.572580933665850722e+00,-7.649280910265104261e+00,-4.350805689459864567e+00,9.761855930629000255e+00,-1.335397518191731470e+00,1.357299052651072868e+00,4.878146573152019050e-01,-5.934528045086572945e+00,-6.789429066824108183e+00,2.213622038134772652e-01,9.781136024890470182e+00,-2.082261476553836310e+00,4.316010105634654259e+00,-6.518378601215359502e+00,-8.594327848844896423e+00,-6.941076741372132375e+00,-6.729600502110733906e+00,-4.296358381574813201e+00,8.260218258554805626e-01,5.411673366025227416e+00,7.558753369264614719e+00,2.687886750205879416e+00
-4.484609113578969186e+00,3.009339919028501953e-01,-8.075322795113198282e+00,4.354973045431369094e+00,7.606733706342712509e+00,1.456586554102379250e+00,9.954569162115236125e+00,-6.523854407644697595e+00,-9.844819458730686534e+00,-9.196463458299491966e-01,8.590484130274283814e+00,6.974437096196969499e+00,-5.181446740889544822e-01,8.097736799432437849e+00,-5.502047675440093322e+00,-3.875279629955424188e+00,4.205365990409893229e+00,4.606608780431788119e+00,-9.708842126105421855e+00,-4.181917162307115632e+00,1.595459669264640779e+00,8.527175121909538191e+00,-3.130050205126145180e+00,-7.678926574258364113e+00,3.663868208404185145e-01,3.979974218915559803e+00,-3.967449526824550432e+00,7.195860312731690911e+00,8.215500894104287966e+00,5.298537084073741354e+00,-4.697491421800759070e+00,8.836532813237871764e+00,8.923471036099268616e+00,5.003195942326234658e+00,8.224422017393585804e+00,-5.192376415475385087e+00,-4.439989860465676230e-02,6.352884211201009101e+00,9.071509429096842325e+00,2.684424609985901267e+00,8.131863187526333192e+00,3.923223733174240557e+00,-9.161926351083494069e+00,6.756286258991258897e+00,-2.633226581553391732e+00,8.550139147371657700e+00,-4.139487770330418925e-01,-7.475341103720896108e+00,9.374810807809014435e+00,-9.658381808623257569e+00,3.583183154675910309e+00,-7.156967148810975843e+00,-6.914772138404117641e+00,3.038384236263174998e+00,9.540031927502866438e+00,3.863467895860964063e+00,5.204845771207549987e+00,-1.441840592338595073e+00,-7.195701228835985397e+00,-5.579014060468952430e+00,5.277698979055126749e+00,-8.786511908082756506e+00,-2.374681556739559607e-01,-6.259505190303696232e+00
-6.597317222241370516e+00,4.766009466968112562e+00,-7.477260631341479780e+00,-2.677174396113001897e+00,2.177028448741006095e+00,-7.938961151129394267e+00,5.935213088413293647e+00,8.860067710019723819e+00,9.556889251434892429e+00,7.700073307894754748e+00,2.528580997536434172e+00,8.637409912123366951e+00,4.473576304731535558e+00,4.367731468627964020e+00,-9.288611061483051046e+00,-1.228112957424192686e+00,-4.362813686943913360e+00,-3.180268444907603520e+00,-8.241715995971230058e+00,5.075488177592453631e+00,2.479405417866162864e-01,3.254842566382092350e+00,2.626557083879884402e+00,-2.737629421570217048e+00,-1.100495438331938081e+00,-1.682249530703580742e+00,-3.542402010598588724e-01,9.568609090201679379e+00,-2.567351085408472233e+00,-9.721131256088742845e+00,8.551991962353458376e+00,7.580635817245098274e+00,-2.984007469152581749e+00,2.557625686589018343e+00,-2.852893135349033216e+00,-5.598903879409865780e+00,-5.572106934804826217e+00,-1.641482979598750447e+00,-8.442830429884210730e+00,3.043443906104645880e+00,5.058052258302367044e+00,8.629664897105653765e+00,-2.458335069801605322e+00,-4.056834069365555351e+00,-2.703897581956450580e+00,6.560590579826974356e+00,7.957601551332442291e+00,-1.472954200699075455e+00,-9.955108407056812325e+00,-9.077977437396249627e+00,-7.134420206301204104e+00,2.014777586875134752e+00,-7.846225706728192861e+00,-4.094187920387105883e+00,-8.887763697703736199e+00,2.470067479728541571e+00,-9.506571848048086082e+00,7.037781483232643076e+00,-3.841025250375004862e+00,5.190849907279648789e+00,1.343065088415292596e+00,-9.279704197150113743e+00,1.390690315110746145e+00,3.112455669518174872e+00
