f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
-6.966548917847234179e+00,1.290950284435431916e+00,-1.781699708959215922e+00,6.149039330165180672e+00,5.601674599499106399e+00,-5.456419789424535871e+00,-4.422297823845429576e+00,4.341090244168699819e+00,7.408952212485576894e+00,7.429371704682560917e+00,-3.226593440202590202e+00,-3.152377793130873851e-01,2.243038148582351621e+00,5.870835919938531156e+00,-2.073082434785373351e+00,5.376117387023487959e-01
-5.927820444517211129e+00,3.267445378532122469e+00,8.529225862471582431e+00,8.186244235348095089e+00,9.423877616088550013e+00,6.701474994667838914e+00,1.145085347095485595e+00,3.752620754851081486e-01,8.317099936526656023e+00,8.940960229336901932e+00,3.097043870034091206e+00,-2.888275407199383693e+00,-3.032762391406072844e+00,8.170041770832558115e+00,-5.472945026424642201e+00,4.075469865723608365e+00
-1.338401157325571411e+00,1.761442847909070686e+00,6.946172331648770459e+00,2.698879326607230844e+00,4.580159861837770130e+00,-7.152520720057322201e+00,6.133706490700364000e+00,6.707880237366276255e+00,1.664372242966239757e+00,-5.283842039736743601e-01,-7.696694785262900851e+00,7.153293103264951602e-01,5.167294013302663469e-01,8.864370482301280774e+00,-7.363925914637625691e-01,1.931468783240178622e-01
1.312242117499893501e+00,6.487276943577565902e+00,-9.641406823941592208e+00,3.949308466831546571e+00,5.184063166206366091e+00,5.792581370062930723e+00,6.623541284480559455e+00,1.843132955612495127e+00,9.357587166664396605e+00,-6.076798600862593602e+00,-9.637573433550912227e+00,1.168897194011872864e+00,-6.224441817612891725e+00,9.344094833846893877e+00,-2.958335386983399040e+00,-4.532557687327257057e+00
5.889271203996815807e+00,-6.854565425593504457e+00,4.123254383034268500e+00,5.268889136940409834e+00,-5.242613352352765155e+00,1.010551983627773254e+01,-1.048525411253526940e+00,7.523813977383484008e+00,-9.584092515866551310e+00,-5.314497153086522374e+00,-8.270853544933556734e+00,3.052962616394315987e+00,1.758612484079950411e+00,2.114721444841923592e+00,-8.536531080400489913e+00,2.410773573535368364e+00
-2.305316487178727947e-01,9.682488715018036984e+00,7.032825655372864304e+00,-6.258280470592593403e+00,-2.660474580755974205e+00,-5.829797800123334817e+00,8.963345351389717663e+00,3.980479707343917983e+00,5.609901115241452629e+00,7.703525515797482903e+00,6.340317410336344217e+00,2.526103103452895571e+00,-2.678553591822957713e+00,-5.992897726435575834e+00,-3.704310351985711680e+00,3.636895711528735031e+00
-1.392619720392614502e+00,8.263749982107889025e+00,8.308381361450477343e+00,-5.467109890204453926e+00,-4.226781408838366616e+00,-5.116619186112393969e+00,8.429331655027461068e+00,4.569689791225471254e+00,4.585903229297960237e+00,6.922175269804781372e+00,5.476822886773204502e+00,1.641309900586860770e+00,-4.404896541692673750e+00,-7.966254079799854004e+00,-2.937305715850876187e+00,3.703680865300430725e+00
-9.419174972439053661e+00,-3.267158585687769179e+00,3.936083918673317417e+00,-6.969118697365175308e+00,1.134923008504854725e+00,-5.811788890560030119e+00,9.335721337633701822e+00,3.213481149784030766e+00,-4.367129423843628899e+00,-7.210937901534544281e+00,4.797749076306906169e+00,6.151173122267854509e+00,4.298347756493888561e+00,8.820314626076317666e+00,3.523385455405569022e+00,2.427134776127436666e+00
-7.761483627958842391e+00,-2.548960216298302495e+00,4.666686790464313894e+00,-6.457108486876905751e+00,1.968057849317721875e+00,-4.708487344119934193e+00,8.315329025204642122e+00,4.645959894566349391e+00,-5.032033011221959562e+00,-8.541236407839774003e+00,6.425956595695327067e+00,4.762265927557543854e+00,5.272685934905070759e+00,8.539521810784302502e+00,4.696796498826443234e+00,1.189329004822741176e+00
-5.721862029826795926e+00,3.002011763693781532e+00,-6.548069780094242454e+00,-3.832438500614755661e+00,3.317277764190517786e+00,-9.514962916442758711e+00,6.702536311793390489e+00,9.284154538495675624e+00,1.092722699737844394e+01,8.471353349615499795e+00,1.473760872769028563e+00,8.904737371543864910e+00,5.093108671530131915e+00,6.033254364911323719e+00,-7.750150594969444029e+00,-1.154495608073180524e-01
