f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
6.596499551830449448e+00,-7.715436652670655704e+00,4.319053124648449149e+00,3.550423573730876914e+00,-5.610567313698076930e+00,7.023085058050257956e+00,-1.342107822961487784e+00,8.171551539177666967e+00,-9.299203450582895769e+00,-6.651541041843813673e+00,-9.714662620917270175e+00,3.345004522335534691e+00,3.303491126385305954e+00,1.029060597916946040e+00,-9.399450767542797180e+00,2.399723227989624785e+00,-2.646355412987405842e+00,4.973665535503619672e-01,-8.026012039217841121e+00,1.145690153609540074e+00,2.627335912526260753e-01,-9.093763608704383827e+00,1.451784936323130992e+00,7.835185927541697737e+00,5.498981487511910515e+00,9.962168419974984701e+00,1.010750478980113165e+01,5.572927774002967460e+00,-4.202835756740519457e+00,1.659832257492796614e+00,-9.227107729478705167e-01,-4.951493379543360440e+00
-5.938066947059773781e+00,2.200981625639399919e+00,-9.138972108338621059e-01,6.467057995185610864e+00,6.016994996063687928e+00,-6.123558193588638510e+00,-4.068466874931838895e+00,5.753905599233376300e+00,8.805194688224986521e+00,6.625069986093277130e+00,-3.474267706907544717e+00,8.645042416418653453e-01,2.625625734725136162e+00,4.685828729532239834e+00,-2.317391903893405658e+00,1.923278035976938138e+00,-1.198480183940410226e+00,-9.852617933126316174e+00,4.941865843313911100e+00,7.080527103417296075e+00,-1.342713177475251207e+00,3.334193348419232983e+00,-8.854421300195035371e+00,-2.308479778267847227e+00,9.003394528119070372e+00,2.923524918778272141e+00,-2.370934978422166051e+00,5.261755039528387634e+00,-3.525706152850212494e+00,6.898538370867068892e-01,8.074546438044482244e+00,-1.440420587751581438e+00
3.591503028809623910e+00,1.340374939401024701e+00,1.397219689380072349e+00,7.167931946842240443e+00,8.933241491714174032e+00,-5.564179669247170779e+00,4.809413848031741878e+00,3.846582431692776805e+00,-3.958910340410302098e+00,9.037075055992543682e+00,-2.796096802253210667e-01,1.496057894486488182e+00,-3.369157459269604082e+00,-3.867297862472846681e+00,-2.119769800117730973e+00,8.382650964790991921e+00,-6.899753025714491450e+00,1.847405669271978246e+00,7.574568278464468563e-01,-9.250401289305901997e+00,-3.428204458195875937e-01,-6.381380266958364800e+00,-8.403418769002801270e+00,7.797588886000426989e+00,-9.251150692116693719e+00,7.529265766107464231e+00,-1.765397051512793247e+00,-2.055201718708357994e+00,-7.933906894087490613e+00,-6.693100396592445378e+00,-6.136990720121862086e-01,1.819421098775507506e+00
9.895081240020481061e+00,4.070933977983115071e+00,8.620760601356980857e+00,-5.133334492442520158e+00,-7.173380832944531438e-01,7.946003955192898260e+00,9.332327522103353701e+00,2.728170536980337957e+00,8.879113375425692567e+00,4.661436299241946912e+00,-7.144017212347938184e+00,7.215468552757684506e+00,-3.319729979181256230e+00,9.365973330827431553e+00,-1.249549403830038097e+00,-6.787608019403526427e+00,9.514259527295667596e+00,-1.057734541427600305e+01,5.092453662181675611e+00,-6.468480924217388406e+00,-6.182951790613590681e+00,3.328811366450429965e+00,9.779870451398844367e+00,2.699012094237344783e+00,5.276409187868193129e+00,-3.670839558161920202e-02,-6.830421943521864492e+00,-4.761280539339109552e+00,4.729988580309195001e+00,-7.484978613317510465e+00,2.950122877676490951e-01,-5.101357524939577281e+00
-1.389110673421333875e+00,-9.318788285189251397e+00,-1.133510678310514663e+00,9.179847687851168558e+00,-6.860192180696872200e+00,-8.191243161958766450e+00,5.150719059687275170e+00,2.604258354446053580e+00,-1.225168573269078687e+00,-8.135914510274940170e+00,-4.628101844346124594e+00,7.871346488746724823e+00,-2.525736058978092835e+00,3.152694171993412620e-01,-1.081898812174482494e+01,-5.440280667117195712e+00,-1.641200666859877977e+00,2.930665671791851778e+00,8.414047580063497733e+00,2.513659816176402995e+00,3.343583434055444226e+00,-7.082357646797235340e+00,4.955501203507076013e+00,6.773131791330663454e+00,2.382010297800147836e+00,-1.764246553012187579e-01,-6.720783306462855045e+00,3.039431200951112633e+00,1.753711640417428663e+00,8.532683420292418219e+00,-6.806273640125162228e-01,2.407747341649919548e-01
-6.484805670996163229e+00,5.831209674567151779e+00,3.054668788056412065e+00,9.200373958718434109e-01,2.705367515673712475e+00,4.431360286290511930e+00,-3.964053186115466865e+00,6.191456871966429354e+00,6.589782587982252693e+00,5.773132012913275268e+00,3.831684825003068617e+00,1.441275547106591226e+00,5.940061751083751673e+00,2.378487637905526420e+00,-4.524919934354932671e+00,-4.330999076475675613e-01,-2.637193785869105245e+00,-1.007035957475194188e+01,1.528708737996963274e+00,6.425603098840352523e+00,8.451275732806951879e+00,2.909765705694955962e+00,-8.544876738839471741e+00,-1.333475388478957413e+00,-9.061924843433939003e+00,-5.717537510476160989e+00,-2.226043602609306671e-01,-8.047968804875871740e+00,2.170532963601998322e+00,1.531758856514277567e-01,8.666313685495090624e+00,4.725903253238664448e+00
5.140217054676952557e+00,-8.131968448844805408e+00,3.871520962275229572e+00,5.495553342088130400e+00,-5.576892938000975519e+00,9.254546409616239089e+00,-9.871034386318962017e-01,7.764178258690912493e+00,-9.680145267142568954e+00,-6.001987607128477009e+00,-9.170607908751263082e+00,3.079724352752670313e+00,2.396961731324011247e+00,2.286134883394664641e+00,-7.875057606214057593e+00,2.920252421725536784e+00,-2.910600958412604911e+00,4.863437309404058384e-01,-6.383562065918082951e+00,1.031394724634451476e+00,1.809869045754262551e+00,-9.267359062018174498e+00,1.145490658771338266e+00,6.892484026807496278e+00,6.776064906417725631e+00,9.169568116077103426e+00,1.096210135722927248e+01,4.432333636167425261e+00,-3.359952540138818389e+00,1.626691749477076954e+00,1.144157262873926495e+00,-5.822398110950966377e+00
-4.193416997882423836e+00,2.691045194523780104e+00,-1.712420230784288400e+00,6.171578813927965257e+00,6.265606364408272455e+00,-4.978732312269237070e+00,-4.261654432796293079e+00,6.403309082529916374e+00,8.995060813006638512e+00,6.132093639915751737e+00,-2.382411217006942472e+00,7.893132218472675987e-02,2.387212779335839308e+00,4.692122134731054217e+00,-4.169642108886882248e+00,1.048280089067030962e+00,-1.378049589340841208e-01,-8.925978899150592838e+00,5.410270409313753248e+00,6.864902697821149147e+00,-2.729861657954796961e+00,2.612392576191532978e+00,-8.112771190498101248e+00,-3.067923189660085814e+00,8.348454850459823717e+00,2.578524159586828901e+00,-2.257527390488408781e+00,6.227487946584062684e+00,-4.506291849007616257e+00,1.074827314035839532e+00,7.905181226754254276e+00,-1.332025295722792713e+00
-6.745512003664261513e+00,2.979165849355393636e+00,-3.484111807405187999e-01,6.644049439327619488e+00,5.710261530161070631e+00,-3.711977938748764139e+00,-4.745346279816440749e+00,5.363910242589864374e+00,8.675309290061589351e+00,7.391041171459988846e+00,-3.360822154809905093e+00,-1.622505290278400958e-01,3.328268044282434612e+00,4.556160560651520086e+00,-2.482058493160733015e+00,1.195848781557734997e+00,-6.500517788239800199e-01,-1.032204287207578908e+01,5.946616023635466597e+00,9.317079681190525875e+00,-1.503188181682912461e+00,2.152903673918601601e+00,-9.577673210887812871e+00,-1.557877650112639678e+00,7.697833175463490996e+00,2.653633102460945636e+00,-1.131634699047764148e+00,4.589068753220004737e+00,-3.006793964597607616e+00,1.420414075380421526e+00,7.633292593185863062e+00,1.786114501715665437e-01
-1.044082832875988576e+00,2.025654516989133569e+00,-1.727380484420144358e+00,-6.422678087083028231e+00,-5.802900998377801045e+00,-1.310705807568141923e+00,-7.943970773012240194e+00,3.238120685871133553e+00,5.649656552151414601e+00,7.724498150711336386e+00,-3.455649767003865058e+00,-4.212044624880400434e+00,-9.050392323127758321e-01,7.030859919262020696e+00,8.156863379623986887e+00,-1.265845253045198016e+00,-1.139684942058502237e+01,-9.701983003786210702e+00,-8.605864135806726267e+00,2.011032480818407464e+00,-9.024714800840641260e+00,-4.668302139655488681e+00,-9.448816473148108130e+00,1.831317125771546372e+00,-1.039760299273562438e+01,6.850357716593764579e+00,-5.192556365489450876e+00,6.877019931863674884e+00,9.696120072973921644e-01,-9.344637706919565190e+00,1.370190768316749574e+00,2.441962704882751911e+00
