f0,f1,f2,f3
8.505186204851829856e+00,2.493373797414656146e+00,-2.528495232442262264e+00,7.125354838869082386e+00
3.415844027397486826e+00,4.992291106141525603e+00,-3.309366352799129718e+00,2.771958871158834548e+00
-1.545195246252709653e+00,6.291872937047826575e-01,-9.428262247850538458e+00,-2.958555314173360706e+00
-3.320908377134130340e+00,2.967494366907301284e+00,7.228576695007927988e+00,-1.265905884066795162e+00
-6.691476468677099554e+00,9.604177740693472742e+00,-1.427023928215646720e+00,7.711479403778118247e+00
5.859426574349797079e+00,-6.606203257120943917e+00,3.477713501860345779e+00,4.582488603401340121e+00
-2.679493452146342491e+00,2.162776575590783512e+00,-8.002455863865831631e+00,-3.234179271839941805e+00
1.226574700053077338e+00,-9.400445835081246315e+00,6.842222980337167471e+00,6.904016022459138036e+00
5.151441805674412677e+00,-4.416184248720475658e+00,-4.975983527477628066e+00,5.343787727050169245e+00
8.556506594070976135e+00,8.331450966940492364e+00,-4.117649123237875131e+00,2.537957409914475271e-01
