f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
-1.409307385189999096e+00,-8.032523303169604389e+00,-9.537952086886621883e-01,8.872005817267218930e+00,-6.951292361108116324e+00,-7.515813945515239958e+00,3.537348007202085753e+00,8.964784922825561608e-01,-8.047047687465871402e-01,-7.463076475584383473e+00,-5.044896397845325176e+00,7.564915261926107526e+00,-3.789637811831816805e+00,1.510042677604420458e+00,-9.875723842839434496e+00,-3.614541552953684622e+00,-1.081386836253231953e+00,1.977238385652326125e+00,6.934879496795920417e+00,1.801144349798788458e+00,3.283470739358959278e+00,-6.336301530953475591e+00,5.886806327213882639e+00,7.810043400848465822e+00,3.083421650245123047e+00,-9.958616476567745401e-01,-5.897431032729899769e+00,1.785637361253337607e+00,-1.883392328211677125e-01,7.913433512383675428e+00,3.617188373357587139e-01,-2.143379201299017378e+00,-2.829323547286641816e-01,6.080123278626360595e+00,-8.583296065843200040e+00,2.905608450706932633e+00,6.315112633846332812e+00,1.482840265369587129e+00,4.722935446823540495e+00,1.572547605691345218e+00,8.276113923013099338e+00,-6.839867345841138757e+00,-1.098948827686774443e+01,1.019603326388167197e+00,-6.385958102721325247e+00,9.665736010681614587e+00,-4.071465109999412135e+00,-3.194008719093751836e+00,-3.192921585046548660e-02,7.645683028225585431e+00,6.875799916886192520e+00,-6.453042800059886730e+00,-3.005532623232494593e+00,-7.258550389031078964e+00,8.808173571538617352e+00,4.483951494619082823e+00,4.395756355361665868e+00,8.536408693957975302e+00,5.324219548146154501e+00,1.640160519089273405e+00,-4.361619873247245316e+00,-7.736240217028832689e+00,-3.034668258897255555e+00,3.194528532628861051e+00
-7.044689815444550973e+00,5.948538576073832296e+00,3.443688434499737383e+00,8.581599857456501113e-01,2.579674452453377231e+00,2.205081549376309624e+00,-4.462200266203161902e+00,6.968605191847339952e+00,8.140862729545370158e+00,4.250460428139433589e+00,2.832372110144480981e+00,-8.441617909996085301e-01,7.507684240393324160e+00,3.252461981727803764e+00,-4.005109458732375671e+00,2.040835261166741521e+00,-5.278325953984681629e-01,-1.069843210977172454e+01,2.617918380228153374e+00,6.542638767185438020e+00,9.358984924689389473e+00,4.818718893716265050e+00,-8.186552337854642758e+00,-1.030760814614503307e+00,-8.219400180987186388e+00,-5.762542440430205026e+00,2.713554403067714560e+00,-6.303996941398829712e+00,6.506710578120838973e-01,1.848448767984371521e+00,8.695763563870963608e+00,4.034173760560289423e+00,8.808824871222970643e+00,-4.356393692436129506e+00,-4.946188717205571628e+00,2.758045851435864115e+00,8.847373636418121023e+00,9.842240167158772479e+00,2.728162413269923814e+00,-3.054484027139859670e+00,1.661977214118894652e+00,6.267385087941436339e+00,1.273460506939949166e+00,-6.539586419080391622e+00,-3.877536296639338076e+00,8.427323575948118872e+00,-1.832753293540964723e+00,7.478991268289925110e-02,-1.256528496750635826e+00,-5.859290640518628912e+00,-7.172494383885823943e+00,1.415775387370848293e+00,1.023117949004617877e+01,-2.574257770615922425e+00,4.167076580401020358e+00,-5.539102526281633132e+00,-8.521398057664358205e+00,-6.734569504950267849e+00,-5.823160083100516360e+00,-4.186388115136788990e+00,1.543105722836613403e+00,5.750098350713087392e+00,6.668941124668319453e+00,3.404980530501650726e+00
-5.669487861122091132e+00,-8.771475040301437431e+00,-9.435328928043411167e+00,-5.412265260477781226e+00,-9.541615907721649137e+00,-2.525651597538514537e+00,-8.564532422734165706e+00,9.059268094032574936e+00,8.350709280054847028e+00,6.537477591635595608e+00,-4.375294370631436891e+00,1.567481162580408149e+00,8.404756238851486927e+00,9.247479888947140125e+00,-8.918332980497492457e+00,-3.709956670881071172e+00,3.192198967032951806e+00,2.675424058224780133e+00,2.641751435987458319e+00,7.746611366362477824e+00,2.880149405624668368e+00,-3.971808296930553261e+00,-6.970775000034461932e+00,5.467441617623437722e+00,-3.811691794444612036e+00,-7.700733527737642525e+00,5.867092841985744656e+00,6.968033867420606597e+00,-8.285884406323537732e+00,-5.494029036197134452e+00,-2.371279181328569408e+00,-3.700952578851057329e+00,-8.558191919982279572e+00,-7.177864423734503063e+00,-4.939394566937286291e-01,-9.884832560796912304e+00,6.259072013488703234e+00,6.671442642958508529e+00,-8.187258694285812766e+00,-4.936188112208357737e+00,-2.091406869063469287e+00,9.395869304050815884e+00,5.389911892740577137e+00,-7.890636822986027532e+00,8.835539269554221420e+00,4.527453564652711648e+00,-8.682884474303036448e-01,-6.205008980158750020e+00,-8.472542780997454059e+00,-8.464973240520494713e+00,7.372636745831997906e+00,-6.701910328934789440e+00,-2.715422152853399496e+00,3.016392473025510057e+00,1.615455260558609218e+00,-4.600861582742021838e-01,-1.683501876184253510e+00,-8.486053600000873942e+00,3.073455605642576582e-01,3.947341020267085554e+00,4.491312028090223230e+00,-6.070721208605996289e+00,7.643732632994707288e+00,-8.470477081288930066e+00
-6.304383051471182497e+00,-7.670085165816160178e+00,-8.806798254375651780e+00,-4.341202589747424234e+00,-7.885237564598495119e+00,-2.016387318517771199e+00,-8.899604629360636565e+00,9.835727132831467046e+00,9.184525547966336134e+00,6.726830954366281645e+00,-6.603274943747439174e+00,2.549374032735248541e+00,7.299055227081419517e+00,9.310515692023203727e+00,-9.937900197372844247e+00,-3.453039651110006769e+00,3.848563196732404990e+00,2.802201601835833777e+00,2.916960600551230076e+00,6.183675473691829794e+00,4.947346397272109897e+00,-3.588989655144846136e+00,-6.481576305699740637e+00,5.070763632619915917e+00,-2.276096651530226556e+00,-8.350866219300170812e+00,3.288997513574338782e+00,8.044217948397047735e+00,-9.876856825322841260e+00,-5.913635393849790312e+00,-2.423883729592847924e+00,-1.471295960468235187e+00,-1.085929070553338249e+01,-8.096846404628340821e+00,-2.526729670249524773e+00,-8.381614750705223216e+00,6.830898494495446727e+00,7.252873761793071417e+00,-5.744744086403298589e+00,-7.124788038353868203e+00,-2.264546283289081252e+00,9.270958421332595734e+00,5.267324971477208351e+00,-7.741548728197148677e+00,9.384588177207985993e+00,7.938009681973730025e+00,-2.588584776758254602e+00,-7.172377232929407320e+00,-8.846299445125470839e+00,-8.236277119328420326e+00,7.615517584781668958e+00,-7.459375133828427096e+00,-3.467475055627778691e+00,3.529129792379841035e+00,2.354235051722761707e+00,-2.538905300767498208e+00,-3.345458731919935591e+00,-8.099731900498500892e+00,-3.165310094610715996e+00,3.980144461789329569e+00,4.554035045201591636e+00,-5.883124179245283081e+00,7.664146104220599831e+00,-8.786478758253370103e+00
-6.886736611519764573e+00,-9.401899371155220564e+00,-8.322913087853557101e+00,-4.429236339527438560e+00,-7.062353558822613842e+00,-5.713976963445568380e-01,-1.007232570237347424e+01,7.702236206990552780e+00,7.251355569583284755e+00,5.866775008059929242e+00,-4.937658797032501212e+00,2.153896084407961986e+00,8.724425144669623933e+00,9.096671113608607584e+00,-8.313366312753695198e+00,-3.068183950365084733e+00,4.976320574976641709e+00,1.828309802667790418e+00,4.158785337321743825e+00,6.814005083049304190e+00,4.656542371623423548e+00,-2.370516982730264566e+00,-6.087566335206239465e+00,4.810167639068697376e+00,-2.119939612518102479e+00,-7.472167919641901968e+00,5.188836180157339939e+00,7.805537410292902933e+00,-9.648768479216078831e+00,-6.627112277540354590e+00,-1.930770601552872057e+00,-2.970951460515559361e+00,-1.047123903779038834e+01,-7.865052372351587273e+00,-1.332185895493037897e+00,-7.736219185413592214e+00,5.553153533123125207e+00,7.843251859200752740e+00,-7.265003979699093506e+00,-6.100836210207475574e+00,-1.659800968849161062e-01,8.913408702079458124e+00,6.209223909316196277e+00,-7.314473813919429190e+00,8.048981573276082102e+00,6.744101694824221838e+00,-1.298699029435417263e+00,-8.711767956314275807e+00,-7.919463848933183669e+00,-7.618134364437413097e+00,6.255260760476306636e+00,-7.114156950858649964e+00,-4.281880762515264394e+00,2.597170817806699450e+00,2.559034256588365253e+00,-2.766439654798344527e+00,-2.304760935498003427e+00,-8.231632209697192337e+00,-1.599824188361316457e+00,4.763975538834839263e+00,6.224836937780598767e+00,-6.862699769396812144e+00,7.412068506749125874e+00,-8.387447019457319186e+00
-4.748364886243868987e+00,5.874838077131125935e+00,2.977676715841201638e+00,6.843804037812812879e-01,3.940830993823476902e+00,3.639783071801694359e+00,-5.101744675580773603e+00,4.410752468972154006e+00,6.387224025515705783e+00,5.810448563379449816e+00,3.673794324447741122e+00,4.231648591829040296e-02,8.804656389932350891e+00,2.885954974784155080e+00,-3.029880535430295119e+00,9.642131243997692502e-02,-1.981377489320672147e+00,-8.094843277132392600e+00,1.439441056339326064e+00,7.375057976701009821e+00,9.825118063738472074e+00,3.660999429211162504e+00,-8.601795013826071923e+00,-1.116260572602777668e+00,-9.576733615554285706e+00,-6.327815672611840192e+00,-3.449289856554758060e-01,-6.995871456411582479e+00,1.876077199964635511e+00,1.553323565976725273e-01,6.790597886261918958e+00,5.237256286187377263e+00,8.479712100936936281e+00,-3.909394921022260050e+00,-5.284407679089377474e+00,4.762987757210549233e+00,7.365033445538745838e+00,8.847489410142076238e+00,2.507017408112369061e+00,-3.160795491699416981e+00,1.552693314551966353e+00,5.169497018114692644e+00,1.010052197286747333e+00,-7.138320899037769784e+00,-5.027544856680716379e+00,9.231361509915291919e+00,-5.973758776143457405e-01,7.406900813511252402e-02,1.274211480681099573e+00,-7.255351562676919386e+00,-7.735099874615016802e+00,-4.728448795044688513e-01,9.683388856239886877e+00,-1.150730294278643040e+00,4.423757227094927025e+00,-7.346052958810203037e+00,-9.311010411708558365e+00,-7.789772826295963348e+00,-7.457577939603117656e+00,-4.021079652188261022e+00,2.689395535317509189e-01,3.772121030906392392e+00,8.263962059200865795e+00,4.627391905665582783e+00
-1.838656424850759308e+00,-7.430090177614211200e+00,-1.010583490989994226e+00,9.037615150941286757e+00,-7.376827925730100155e+00,-6.295626290412934090e+00,3.786630511881641681e+00,6.188021203437459317e-01,-1.230029652701337906e+00,-7.809447532582862728e+00,-6.071475047914347556e+00,7.488237479743414582e+00,-3.005127349469687292e+00,1.804576076595016509e+00,-9.582427619943448605e+00,-4.339623295408985726e+00,-1.640086628430155180e+00,1.206453361355860565e+00,8.579065406662616411e+00,2.597446323687864655e+00,3.712039871985372663e+00,-6.724306506127520677e+00,4.805255431778397757e+00,6.333358639536244006e+00,2.320645267193369055e+00,-1.825042876438113026e+00,-6.634421208317350604e+00,5.327218258848520627e-02,1.165184723068496631e+00,9.026229872817889799e+00,-8.201884803849628369e-01,3.074692365255106696e-01,1.071614052692679842e-01,5.937121327686242012e+00,-8.019692890758330250e+00,3.163399368562751945e+00,5.454004014202326722e+00,4.219670223488520833e+00,6.173399157759411615e+00,1.429824852849177708e+00,9.304124365854017142e+00,-6.485435774484175298e+00,-1.023504023455501510e+01,1.693620570551064297e+00,-7.301613026130820749e+00,9.640727907487768533e+00,-3.200072015486045807e+00,-4.217637774121369532e+00,-2.622789043320578051e-01,8.966878625076958542e+00,8.361464702496155255e+00,-4.434521244049235200e+00,-4.017240388823328345e+00,-7.325669902327723193e+00,7.772836334605836228e+00,4.391132088381208831e+00,4.309191813640775415e+00,8.222511436647129912e+00,4.426765178080762198e+00,2.555995086346667833e+00,-4.370761444729622802e+00,-5.402125714939931100e+00,-1.921844499127896233e+00,3.986226963835736381e+00
-7.370416409378081291e+00,5.818089587065244928e+00,2.080844161580245544e+00,2.000787112205287599e+00,1.830471430295448565e+00,3.018408745752400257e+00,-5.080201814835563212e+00,5.487377097005795790e+00,6.239956480574890385e+00,4.786928532057828534e+00,2.206430391187946150e+00,8.323909127565851662e-01,8.657188180846263847e+00,4.574647385847642411e+00,-3.932632179240838521e+00,-2.643029687780971138e-01,-2.001473447792727622e+00,-7.577796164270769630e+00,1.511619481925882358e+00,7.144860877501079344e+00,7.649396568871989821e+00,4.526804916349755459e+00,-8.318234685904137393e+00,-1.591404080421917833e+00,-8.475360548131483540e+00,-7.052256636839793202e+00,2.025345143360173239e-01,-7.461086109634790020e+00,1.409778108251368955e+00,1.812996294535665354e-01,7.357880964027688542e+00,4.160437021220903198e+00,8.032150401109449334e+00,-4.284724889103975087e+00,-4.369746403001635748e+00,3.883065404691000477e+00,7.680665363820727620e+00,9.334482179541813807e+00,2.307269970350519284e+00,-3.787600290826687033e+00,1.648831814570426824e+00,4.830792134699822604e+00,3.997187641592005569e+00,-7.580425537416396686e+00,-6.252780594500462641e+00,1.009787925939899722e+01,-2.189604901814090621e+00,6.584830152961342886e-01,6.708951481343434775e-01,-7.104230596648792861e+00,-6.646674959638585456e+00,1.021330772117695185e+00,1.024562652167523780e+01,-2.790061988973139062e+00,4.065849381472727231e+00,-5.383532303394325425e+00,-8.881068812933946788e+00,-8.208512916920852831e+00,-6.178378034466107671e+00,-3.815773897045781293e+00,8.611063090333108683e-01,4.675217478324217524e+00,6.589167530691558028e+00,3.068988608219401115e+00
-5.880221339039660933e+00,8.042837967613762906e-01,-7.969792683722927151e+00,3.383528330499349757e+00,7.275866011460140115e+00,8.361328433729368070e-01,1.034546089637150956e+01,-5.320747236587700435e+00,-9.345742116481552841e+00,2.118653700847945576e-01,9.524090067473691690e+00,7.533755671466521697e+00,-1.378447600566189646e+00,8.519856927573837169e+00,-5.666512412540793520e+00,-4.570724035880024516e+00,3.152841315069620620e+00,4.015639185062674699e+00,-9.631499238092736448e+00,-4.592458438526647591e+00,2.072696001651843201e+00,6.623439613144325833e+00,-2.621646929275714299e+00,-7.779583374770745685e+00,2.656848834020146266e-01,4.423578225946800835e+00,-3.907157913348259459e+00,7.589034418407504035e+00,8.103392565608295683e+00,5.888837963007956589e+00,-3.846791884167178210e+00,1.000856467379696113e+01,9.222325606784755436e+00,5.636881232816448595e+00,9.384961076407590141e+00,-5.291001909680452364e+00,-5.394747624570002120e-01,5.877657966208253981e+00,9.714544265151547009e+00,2.342480024725889010e+00,8.208963661221918784e+00,3.983931780044938087e+00,-9.802517399713973845e+00,7.842855651099677416e+00,-2.555209876346362208e+00,9.068022061764557051e+00,-9.362844050426784026e-01,-8.885642252726359658e+00,9.316423190619600447e+00,-8.224909913236196246e+00,4.723767707298882179e+00,-6.602954353031643464e+00,-6.775689616848951324e+00,2.728231462188841494e+00,9.054251500476309999e+00,3.416193305284956239e+00,5.090679141212412162e+00,-7.571834036040683280e-01,-7.530301411660602184e+00,-5.678026442100011728e+00,5.130173985493637900e+00,-8.992320957712221841e+00,-9.723322967039162990e-01,-7.119718063573113653e+00
-5.985227105101547984e+00,3.867798065828954357e+00,-8.185586579536705543e+00,-1.641144961450934137e+00,2.708861647955608909e+00,-7.232395793742210088e+00,6.338326039473327178e+00,8.014840468794762529e+00,8.388007320505419528e+00,8.903795568045927311e+00,3.423170874417350795e+00,9.437376343051766980e+00,3.949223713515725542e+00,5.919476091376308702e+00,-9.468317245698212758e+00,-2.278883331724622874e+00,-3.886544922508184730e+00,-3.151997696866141840e+00,-9.114900207091920947e+00,5.176053356723495646e+00,1.235432353611041867e+00,3.504822652623490242e+00,2.454727738589279618e+00,-2.238586559446812174e+00,3.740269052608278244e-01,-1.373608337422361103e+00,3.542963311020923545e-01,1.020858300969629440e+01,-9.064868313062000027e-01,-8.827352684194714527e+00,8.105735833070422558e+00,6.991344677727352241e+00,-2.013951256440299264e+00,2.865603333281518061e+00,-2.923962092887091746e+00,-5.945533134297665612e+00,-4.713288747304822834e+00,-2.334333489375183923e+00,-7.477826620277257419e+00,1.868589671507130179e+00,4.375290419854313662e+00,8.187962644583524963e+00,-2.459272649270733968e+00,-2.917190940151273892e+00,-1.680681984516384286e+00,6.674540381900636810e+00,6.648755849987611377e+00,-8.973708960331311379e-01,-1.021583765210802852e+01,-9.808017251511081724e+00,-6.294162855595139661e+00,2.423241480156248961e+00,-8.252265628585231383e+00,-4.471056450061701604e+00,-9.409811619296450047e+00,2.779861111882362401e+00,-9.139750780984851275e+00,7.987068099595632020e+00,-4.334592226448890528e+00,6.665815848940889410e+00,1.421015714678306452e+00,-9.726220229168436759e+00,1.520610040435628640e+00,2.814082388824064473e+00
